split,channel,total_rows,extreme_rows,extreme_rows_percent,affected_uavs,total_uavs,affected_uavs_percent,low_extremes,high_extremes,isolated_extremes,isolated_extremes_percent,maximum_extreme_run,cooccurring_extremes_percent,earliest_extreme_cycle,median_extreme_cycle,latest_extreme_cycle
train,telemetry_01,24720,1474,5.9627831715210355,8,100,8.0,907,567,34,2.3066485753052914,231,96.26865671641791,1.0,95.0,255.0
train,telemetry_04,24720,444,1.796116504854369,99,100,99.0,222,222,432,97.2972972972973,2,100.0,1.0,130.0,474.0
train,telemetry_10,24720,444,1.796116504854369,99,100,99.0,255,189,432,97.2972972972973,2,100.0,1.0,130.0,474.0
train,telemetry_11,24720,444,1.796116504854369,99,100,99.0,190,254,432,97.2972972972973,2,100.0,1.0,130.0,474.0
train,telemetry_18,24720,1706,6.901294498381877,9,100,9.0,516,1190,17,0.996483001172333,266,96.48300117233293,1.0,111.0,481.0
train,telemetry_24,24720,1131,4.575242718446602,99,100,99.0,908,223,449,39.699381078691424,31,72.06012378426172,1.0,243.0,525.0
train,telemetry_26,24720,1787,7.2289644012944985,48,100,48.0,1326,461,34,1.9026301063234472,266,98.09736989367656,1.0,122.0,525.0
test,telemetry_01,16596,0,0.0,0,100,0.0,0,0,0,0.0,0,0.0,,,
test,telemetry_04,16596,298,1.7956134008194746,93,100,93.0,170,128,286,95.9731543624161,2,100.0,2.0,86.5,363.0
test,telemetry_10,16596,0,0.0,0,100,0.0,0,0,0,0.0,0,0.0,,,
test,telemetry_11,16596,0,0.0,0,100,0.0,0,0,0,0.0,0,0.0,,,
test,telemetry_18,16596,0,0.0,0,100,0.0,0,0,0,0.0,0,0.0,,,
test,telemetry_24,16596,355,2.139069655338636,93,100,93.0,204,151,286,80.56338028169014,18,85.63380281690141,2.0,106.0,475.0
test,telemetry_26,16596,6,0.036153289949385395,3,100,3.0,6,0,2,33.33333333333333,4,100.0,194.0,330.5,333.0
