channel,age_band,count,mean,median,sd,min,q05,q25,q75,q95,max,iqr,effectively_constant
telemetry_01,1–50,5000,82.86867653818649,86.00992098342361,35.63828003829321,-101.72840432261376,41.865262548346166,77.34432324307475,94.47618237012603,108.98116637187057,239.07412360557484,17.13185912705127,False
telemetry_01,51–100,5000,84.50244496980265,86.14064142593736,33.806547050467444,-94.59683457179489,45.21864359788905,78.2299956911956,94.16367495158863,108.33135374523668,274.85811723282086,15.933679260393035,False
telemetry_01,101–200,9154,86.32000044857355,86.25008117883516,31.059008818598198,-62.23551159889958,52.28567824783132,77.87717009291754,94.29045772591866,108.47943798523127,304.0305942619277,16.41328763300112,False
telemetry_01,>200,5566,85.84908685739586,86.01853504448252,18.009974357817846,-8.53032415372536,64.43601092859558,78.26279847522014,93.73677192177897,105.22851128154522,263.8225772277485,15.47397344655883,False
telemetry_02,1–50,5000,11.469412037660817,11.548179048745762,7.736605179011211,-20.66772206225065,-1.2811493482364849,6.333835214630048,16.724426020987217,24.19757624771392,40.31504141924581,10.390590806357169,False
telemetry_02,51–100,5000,11.360668751771723,11.440797761288891,7.6045501528151975,-16.373493195071255,-1.2105107490291265,6.147641736293946,16.500822085318298,23.730634175763353,38.48233454265607,10.353180349024353,False
telemetry_02,101–200,9154,11.43562576642867,11.409084130321293,7.63113692869339,-26.95005426096617,-1.1461423039837118,6.393029912133024,16.506852296219023,24.02889267783113,41.19053043166091,10.113822384086,False
telemetry_02,>200,5566,11.376574662400676,11.435352309223934,7.623795615186343,-18.238508947646803,-0.9516499332516566,6.237142249140207,16.437621446927388,24.0268264604384,40.45081117980254,10.200479197787182,False
telemetry_03,1–50,5000,30377.825049386072,30377.82504938608,9.651145399184142e-12,30377.82504938602,30377.82504938608,30377.82504938608,30377.82504938608,30377.82504938608,30377.825049386134,0.0,True
telemetry_03,51–100,5000,30377.825049386072,30377.82504938608,9.526345614707181e-12,30377.82504938602,30377.82504938608,30377.82504938608,30377.82504938608,30377.82504938608,30377.825049386134,0.0,True
telemetry_03,101–200,9154,30377.82504938607,30377.82504938608,1.2573438620574214e-11,30377.82504938602,30377.82504938608,30377.82504938608,30377.82504938608,30377.82504938608,30377.825049386134,0.0,True
telemetry_03,>200,5566,30377.825049386072,30377.82504938608,9.727920377579043e-12,30377.82504938602,30377.82504938608,30377.82504938608,30377.82504938608,30377.82504938608,30377.825049386134,0.0,True
telemetry_04,1–50,5000,-125.89560998415975,-125.89519002252504,0.062391780087831195,-126.39376538635254,-125.94781656301194,-125.9165251065062,-125.87385493854389,-125.84114114310609,-125.35896897583092,0.0426701679623136,False
telemetry_04,51–100,5000,-125.89459180194656,-125.89519002252504,0.06384986842591303,-126.45444470211118,-125.94781656301194,-125.9165251065062,-125.87385493854389,-125.84114114310609,-125.3724054307648,0.0426701679623136,False
telemetry_04,101–200,9154,-125.89438923167069,-125.89519002252504,0.062115495467248004,-126.43615811173056,-125.94781656301194,-125.9165251065062,-125.87385493854389,-125.83829646524192,-125.32359329280688,0.0426701679623136,False
telemetry_04,>200,5566,-125.89537026172403,-125.89519002252504,0.06381925171800208,-126.42711649188688,-125.9506612408761,-125.9165251065062,-125.87243259961178,-125.84114114310609,-125.3534706154021,0.04409250689441535,False
telemetry_05,1–50,5000,-113.5258505343847,-113.52587135711697,0.002616466330144247,-113.53125751109329,-113.53014202120588,-113.52787269792954,-113.52344492682337,-113.52151267895032,-113.51961280003955,0.0044277711061653235,False
telemetry_05,51–100,5000,-113.52580453751422,-113.5258569762471,0.002602895604124393,-113.53129628743336,-113.52958196238684,-113.52779186705244,-113.52333220151546,-113.52156410272653,-113.51972009439838,0.004459665536984403,False
telemetry_05,101–200,9154,-113.52584256764735,-113.52587161907519,0.0026061148758772528,-113.53140290784968,-113.52959752560994,-113.52780424946748,-113.52337257648739,-113.52154268874679,-113.5195324995276,0.004431672980089729,False
telemetry_05,>200,5566,-113.52580821220485,-113.52585118676714,0.0026203130614679423,-113.53137634660516,-113.52955836986078,-113.52784886723634,-113.52330345864107,-113.52154504306725,-113.52040991412984,0.004545408595276967,False
telemetry_06,1–50,5000,-138.08989732950857,-138.1037374665215,1.0806880689147502,-141.3599456136211,-139.85357362926285,-138.85767489134992,-137.33852855195306,-136.27130633174116,-134.92517735985268,1.5191463393968547,False
telemetry_06,51–100,5000,-137.99574857953104,-137.989770181373,1.1309336897769957,-141.76070969326418,-139.87148277407192,-138.7815923356052,-137.2145421648135,-136.13874108852173,-133.70034214144363,1.5670501707917026,False
telemetry_06,101–200,9154,-137.74862274246814,-137.74993792746164,1.880344996941818,-145.23358092092082,-140.72172881678955,-139.1194239308668,-136.34820293952265,-134.66624619277079,-131.734093375695,2.771220991344137,False
telemetry_06,>200,5566,-139.45488226709472,-139.7280843768246,2.357112547039883,-144.80025475980676,-142.8396417389281,-141.1598766707368,-138.19171770588062,-134.77833489629597,-132.07098568014493,2.9681589648561726,False
telemetry_07,1–50,5000,140.59118949507075,140.5912754437698,0.003215078626893868,140.50532674474425,140.5912754437698,140.5912754437698,140.5912754437698,140.5912754437698,140.67722414279535,0.0,False
telemetry_07,51–100,5000,140.59125825402998,140.5912754437698,0.0012154981583025666,140.50532674474425,140.5912754437698,140.5912754437698,140.5912754437698,140.5912754437698,140.5912754437698,0.0,False
telemetry_07,101–200,9154,140.59631744195383,140.5912754437698,0.020672345364339463,140.50532674474425,140.5912754437698,140.5912754437698,140.5912754437698,140.67722414279535,140.7631728418209,0.0,False
telemetry_07,>200,5566,140.63009596647015,140.5912754437698,0.047118311201173275,140.5912754437698,140.5912754437698,140.5912754437698,140.67722414279535,140.67722414279535,140.7631728418209,0.08594869902555047,False
telemetry_08,1–50,5000,-4680.605940223165,-4680.605940223165,4.883788971906254e-12,-4680.6059402232,-4680.605940223165,-4680.605940223165,-4680.605940223165,-4680.605940223165,-4680.605940223143,0.0,True
telemetry_08,51–100,5000,-4680.605940223165,-4680.605940223165,4.816494437201927e-12,-4680.605940223194,-4680.605940223165,-4680.605940223165,-4680.605940223165,-4680.605940223165,-4680.605940223141,0.0,True
telemetry_08,101–200,9154,-4680.605940223165,-4680.605940223165,4.913373445374399e-12,-4680.605940223191,-4680.605940223165,-4680.605940223165,-4680.605940223165,-4680.605940223165,-4680.605940223136,0.0,True
telemetry_08,>200,5566,-4680.605940223164,-4680.605940223165,3.941231708122746e-12,-4680.605940223184,-4680.605940223165,-4680.605940223165,-4680.605940223165,-4680.605940223165,-4680.605940223131,0.0,True
telemetry_09,1–50,5000,-152.968844086544,-152.91825562760377,9.845013924890003,-184.25598507256507,-169.1379384482114,-159.6311832907481,-146.26731617645498,-136.86793651217948,-118.33887229451604,13.363867114293129,False
telemetry_09,51–100,5000,-152.823620933117,-152.78644845753374,9.74531198309182,-182.5301368196924,-168.83285083604045,-159.28696654941848,-146.4267196505093,-136.7059734342086,-114.8304552544744,12.860246898909168,False
telemetry_09,101–200,9154,-153.04697349833114,-152.9385636831497,9.775302376481225,-192.25584046730745,-169.3591702890168,-159.55160296861277,-146.42527988345057,-137.06454835453354,-116.66700023622133,13.126323085162198,False
telemetry_09,>200,5566,-152.87503252909633,-152.84756933421409,9.873436119183557,-193.48289921942356,-169.36107733657516,-159.33346752516272,-146.30087040564985,-136.5924625213882,-109.92573433389512,13.032597119512872,False
telemetry_10,1–50,5000,-62.43708759863713,-62.3896085784714,2.342312461475682,-81.90128963609571,-64.43057182649389,-63.17833210791758,-61.55612373925567,-60.374234923638184,-43.98775443087675,1.6222083686619158,False
telemetry_10,51–100,5000,-62.44098107241494,-62.38941945488439,2.3994772415705676,-82.07718060593604,-64.46697386951148,-63.194563776502875,-61.58964651997856,-60.39013286081262,-41.96529020500034,1.6049172565243168,False
telemetry_10,101–200,9154,-62.425227495153315,-62.400845951998676,2.30009684266868,-82.51826829769236,-64.38965612910901,-63.20670461622587,-61.585952713824575,-60.35276882973076,-43.40921519414374,1.6207519024012953,False
telemetry_10,>200,5566,-62.42312506885737,-62.40909976714735,2.338208586354776,-81.63729061502681,-64.43351874693391,-63.20106111825718,-61.62266767271738,-60.356725422540684,-43.19705947833074,1.5783934455398025,False
telemetry_11,1–50,5000,62.48335450402662,62.47498740422482,0.5865475614740097,57.124837105383,62.19747974119822,62.35546413261328,62.60025313469592,62.76478125829976,67.81470679178669,0.24478900208264065,False
telemetry_11,51–100,5000,62.49914673170656,62.48887614193164,0.5727989283014209,57.28688550100331,62.18038591017445,62.35546413261328,62.61961724015254,62.79683219146933,67.87028064493596,0.2641531075392649,False
telemetry_11,101–200,9154,62.517544646217935,62.51104470404059,0.6431936833875611,57.05484654914327,62.00090068442481,62.26906015861028,62.75716916167198,63.03454327914371,67.99813205695195,0.4881090030617017,False
telemetry_11,>200,5566,62.19353136619599,62.12216004824972,0.7088773727636162,56.42417188812894,61.58704300987264,61.89192751164824,62.37215732697242,63.03374200581447,68.21278325829533,0.4802298153241793,False
telemetry_12,1–50,5000,637.5848860481888,637.5941284387284,1.9316340887623547,631.3348725978258,634.3979126901822,636.2623718768341,638.9258850006227,640.6571685310851,643.3206816548734,2.6635131237885616,False
telemetry_12,51–100,5000,637.4169249106027,637.3277771263497,2.0266605586764697,631.2016969416363,634.1315613778036,635.9960205644554,638.7927093444332,640.7903441872745,645.0519651853358,2.796688779977785,False
telemetry_12,101–200,9154,636.9417801294064,636.9282501577813,3.3417935278118285,627.3396029121432,631.468048254015,634.5310883463717,639.4585876253802,642.1221007491688,648.6477079024503,4.9274992790085435,False
telemetry_12,>200,5566,639.9317607796746,640.5239928748956,4.1784510592757975,626.9400759435748,631.7343995663939,637.7273040949178,642.921154686305,645.8510191224725,649.3135861833973,5.193850591387218,False
telemetry_13,1–50,5000,7131.888502312587,7131.76671339036,4.324295610123037,7118.40883709601,7124.932276179971,7128.933600795661,7134.7692401293425,7139.070239471308,7148.208572441231,5.835639333681684,False
telemetry_13,51–100,5000,7132.5245025141685,7132.260516781766,4.567998669399994,7116.5935588195225,7125.336551281217,7129.289405685063,7135.666865516626,7140.3435528799555,7148.717104347983,6.377459831563101,False
telemetry_13,101–200,9154,7135.395937706179,7134.835370250428,6.047833943577309,7118.890591302181,7126.446058763915,7130.833288467494,7139.52138324067,7146.10488265686,7159.1314110258045,8.68809477317609,False
