channel,count,mean,median,sd,min,q05,q25,q75,q95,max,iqr,effectively_constant
telemetry_01,24720,85.14825684039049,86.1256068751618,30.330791831321548,-101.72840432261376,58.027129792309,77.9305221748381,94.19693686208481,107.58998554676165,304.0305942619277,16.26641468724671,False
telemetry_02,24720,11.414002297086283,11.450119333911868,7.645228491572083,-26.95005426096617,-1.144535231275816,6.294153160153767,16.539880765904833,24.0201214852633,41.19053043166091,10.245727605751066,False
telemetry_03,24720,30377.825049386076,30377.82504938608,7.274044108612685e-12,30377.82504938602,30377.82504938608,30377.82504938608,30377.82504938608,30377.82504938608,30377.825049386134,0.0,True
telemetry_04,24720,-125.89489801108418,-125.89519002252504,0.06290927847308976,-126.45444470211118,-125.949238901944,-125.9165251065062,-125.87385493854389,-125.83971880417398,-125.32359329280688,0.0426701679623136,False
telemetry_05,24720,-113.52582875132971,-113.5258642454769,0.0026106777655830124,-113.53140290784968,-113.52959314359508,-113.52781918377319,-113.52335088742238,-113.5215392882313,-113.5195324995276,0.004468296350808032,False
telemetry_06,24720,-138.25182026004856,-138.23398579240546,1.8689856783025507,-145.23358092092082,-141.54661400759232,-139.38242535813254,-137.03920787996964,-135.17934945348878,-131.734093375695,2.3432174781628987,False
telemetry_07,24720,140.60186257113762,140.5912754437698,0.0299518241302597,140.50532674474425,140.5912754437698,140.5912754437698,140.5912754437698,140.67722414279535,140.7631728418209,0.0,False
telemetry_08,24720,-4680.605940223164,-4680.605940223165,4.735857217366219e-12,-4680.6059402232,-4680.605940223165,-4680.605940223165,-4680.605940223165,-4680.605940223165,-4680.605940223131,0.0,True
telemetry_09,24720,-152.94727959380978,-152.88423589119955,9.805370636944465,-193.48289921942356,-169.24960300488357,-159.4527718071704,-146.3522665333191,-136.8142069437014,-109.92573433389512,13.100505273851297,False
telemetry_10,24720,-62.43033940045121,-62.398095712819,2.3374644970047918,-82.51826829769236,-64.42500324295318,-63.195996990043554,-61.58942532771043,-60.36760569931204,-41.96529020500034,1.606571662333124,False
telemetry_11,24720,62.43395248601908,62.43625919331159,0.6474560693230507,56.42417188812894,61.79417216548103,62.23166740324578,62.64832953445029,62.96563377282912,68.21278325829533,0.4166621312045109,False
telemetry_12,24720,637.8411929853645,637.8604797511073,3.3142719006170296,626.9400759435748,632.2671021911517,635.7296692520765,639.8581145939486,643.5870329672523,649.3135861833973,4.128445341872066,False
telemetry_13,24720,7134.321561005774,7133.733469887315,5.7564196292494785,7116.5935588195225,7125.874578106296,7130.183068377645,7138.017142055326,7144.779052718063,7163.701303549529,7.834073677680863,False
telemetry_14,24720,-648.8153498138017,-648.8153498138018,4.681574147078433e-13,-648.8153498138033,-648.8153498138018,-648.8153498138018,-648.8153498138018,-648.8153498138018,-648.8153498137976,0.0,True
telemetry_15,24720,50036.73615647687,50018.21496682397,101.79301284861016,49762.13063837139,49911.38672474876,49976.95282430596,50067.7418733142,50245.00255731534,50939.36608566774,90.78904900823545,False
telemetry_16,24720,-695.5817670243922,-694.5992033130013,3.054910499574377,-706.7393550173249,-701.5364328583291,-698.0678180856652,-692.8648959266694,-691.1305885403375,-687.6619737676735,5.2029221589957615,False
telemetry_17,24720,40.415812282139726,40.41581228213973,1.453899675017678e-14,40.41581228213962,40.41581228213973,40.41581228213973,40.41581228213973,40.41581228213973,40.415812282139846,0.0,True
telemetry_18,24720,-103.11108098351154,-103.24512294228765,0.689088318216898,-105.48396588180913,-103.33618054553222,-103.32749138957934,-103.06476384689834,-102.45798304730502,-96.74556118859034,0.26272754268099163,False
telemetry_19,24720,33504.88487396005,33504.829273886986,2.224589268008399,33488.86839268081,33502.60367249125,33503.95261476769,33505.82683325871,33508.399983973955,33512.45198749248,1.874218491022475,False
telemetry_20,24720,-164.89738417690256,-164.8973841769026,2.842228432060968e-14,-164.8973841769026,-164.8973841769026,-164.8973841769026,-164.8973841769026,-164.8973841769026,-164.8973841769026,0.0,True
telemetry_21,24720,34961.52076478842,34961.497888093465,2.329222234343969,34944.28089818447,34959.14342793496,34960.46781177412,34962.5279644128,34965.17673209112,34969.29703736848,2.060152638681757,False
telemetry_22,24720,23041.71532837786,23033.569170115163,99.21532124118974,22695.29628573517,22892.250646647113,22971.800133518645,23104.843936989804,23218.883563989224,23439.584040385205,133.04380347115875,False
telemetry_23,24720,-17384.07793534695,-17376.28551156349,37.96603276508704,-17707.964497516994,-17463.43195986978,-17395.48438689545,-17360.862243803633,-17340.544090576146,-17297.6715524006,34.622143091815815,False
telemetry_24,24720,-3653.234161968041,-3645.9075403895367,46.9235356950855,-4091.51453390016,-3712.178161815747,-3659.788061404334,-3639.3672576004965,-3628.504303482752,-3258.7045741898737,20.420803803837316,False
telemetry_25,24720,-172.1869473698876,-172.01769073691605,0.9117310545500452,-175.2991113505529,-173.9622362857379,-172.74689531772427,-171.50117082551026,-170.95426738990412,-169.98199461549322,1.2457244922140092,False
telemetry_26,24720,-7494.089217822444,-7474.980156932639,123.73014829974032,-8255.985985064535,-7657.687836372631,-7509.569749034004,-7462.206407152467,-7437.233008705838,-6497.197225281872,47.36334188153705,False
telemetry_27,24720,969.0302044744711,969.0302044744708,3.410674118473162e-13,969.0302044744708,969.0302044744708,969.0302044744708,969.0302044744708,969.0302044744708,969.0302044744708,0.0,True
telemetry_28,24720,-9762.695952948212,-9751.853079010572,68.04696977455454,-10014.463715989665,-9893.49972076334,-9805.315701371568,-9711.667138430777,-9668.63401844992,-9571.930194195516,93.64856294079073,False
