channel,uav_id,longest_run,flatline_rows,row_count
telemetry_01,UAV_0001,1,0,259
telemetry_02,UAV_0001,1,0,259
telemetry_03,UAV_0001,125,249,259
telemetry_04,UAV_0001,2,0,259
telemetry_05,UAV_0001,1,0,259
telemetry_06,UAV_0001,1,0,259
telemetry_07,UAV_0001,259,259,259
telemetry_08,UAV_0001,7,12,259
telemetry_09,UAV_0001,1,0,259
telemetry_10,UAV_0001,1,0,259
telemetry_11,UAV_0001,1,0,259
telemetry_12,UAV_0001,2,0,259
telemetry_13,UAV_0001,1,0,259
telemetry_14,UAV_0001,7,28,259
telemetry_15,UAV_0001,1,0,259
telemetry_16,UAV_0001,6,6,259
telemetry_17,UAV_0001,125,249,259
telemetry_18,UAV_0001,1,0,259
telemetry_19,UAV_0001,1,0,259
telemetry_20,UAV_0001,259,259,259
telemetry_21,UAV_0001,2,0,259
telemetry_22,UAV_0001,1,0,259
telemetry_23,UAV_0001,1,0,259
telemetry_24,UAV_0001,1,0,259
telemetry_25,UAV_0001,2,0,259
telemetry_26,UAV_0001,1,0,259
telemetry_27,UAV_0001,259,259,259
telemetry_28,UAV_0001,1,0,259
telemetry_01,UAV_0002,1,0,253
telemetry_02,UAV_0002,1,0,253
telemetry_03,UAV_0002,132,249,253
telemetry_04,UAV_0002,2,0,253
telemetry_05,UAV_0002,1,0,253
telemetry_06,UAV_0002,1,0,253
telemetry_07,UAV_0002,198,245,253
telemetry_08,UAV_0002,253,253,253
telemetry_09,UAV_0002,1,0,253
telemetry_10,UAV_0002,1,0,253
telemetry_11,UAV_0002,1,0,253
telemetry_12,UAV_0002,2,0,253
telemetry_13,UAV_0002,1,0,253
telemetry_14,UAV_0002,253,253,253
telemetry_15,UAV_0002,1,0,253
telemetry_16,UAV_0002,6,6,253
telemetry_17,UAV_0002,132,249,253
telemetry_18,UAV_0002,1,0,253
telemetry_19,UAV_0002,1,0,253
telemetry_20,UAV_0002,253,253,253
telemetry_21,UAV_0002,3,0,253
telemetry_22,UAV_0002,1,0,253
telemetry_23,UAV_0002,1,0,253
telemetry_24,UAV_0002,1,0,253
telemetry_25,UAV_0002,2,0,253
telemetry_26,UAV_0002,2,0,253
telemetry_27,UAV_0002,253,253,253
telemetry_28,UAV_0002,1,0,253
telemetry_01,UAV_0003,1,0,222
telemetry_02,UAV_0003,1,0,222
telemetry_03,UAV_0003,92,220,222
telemetry_04,UAV_0003,2,0,222
telemetry_05,UAV_0003,1,0,222
telemetry_06,UAV_0003,1,0,222
telemetry_07,UAV_0003,222,222,222
telemetry_08,UAV_0003,222,222,222
telemetry_09,UAV_0003,1,0,222
telemetry_10,UAV_0003,1,0,222
telemetry_11,UAV_0003,2,0,222
telemetry_12,UAV_0003,2,0,222
telemetry_13,UAV_0003,1,0,222
telemetry_14,UAV_0003,222,222,222
telemetry_15,UAV_0003,1,0,222
telemetry_16,UAV_0003,6,6,222
telemetry_17,UAV_0003,92,220,222
telemetry_18,UAV_0003,1,0,222
telemetry_19,UAV_0003,1,0,222
telemetry_20,UAV_0003,222,222,222
telemetry_21,UAV_0003,3,0,222
telemetry_22,UAV_0003,1,0,222
telemetry_23,UAV_0003,1,0,222
telemetry_24,UAV_0003,1,0,222
telemetry_25,UAV_0003,2,0,222
telemetry_26,UAV_0003,2,0,222
telemetry_27,UAV_0003,222,222,222
telemetry_28,UAV_0003,1,0,222
telemetry_01,UAV_0004,1,0,272
telemetry_02,UAV_0004,1,0,272
telemetry_03,UAV_0004,83,264,272
telemetry_04,UAV_0004,2,0,272
telemetry_05,UAV_0004,1,0,272
telemetry_06,UAV_0004,1,0,272
telemetry_07,UAV_0004,272,272,272
telemetry_08,UAV_0004,272,272,272
telemetry_09,UAV_0004,1,0,272
telemetry_10,UAV_0004,1,0,272
telemetry_11,UAV_0004,1,0,272
telemetry_12,UAV_0004,2,0,272
telemetry_13,UAV_0004,1,0,272
telemetry_14,UAV_0004,272,272,272
telemetry_15,UAV_0004,1,0,272
telemetry_16,UAV_0004,5,10,272
telemetry_17,UAV_0004,83,264,272
telemetry_18,UAV_0004,1,0,272
telemetry_19,UAV_0004,1,0,272
telemetry_20,UAV_0004,272,272,272
telemetry_21,UAV_0004,3,0,272
telemetry_22,UAV_0004,1,0,272
telemetry_23,UAV_0004,1,0,272
telemetry_24,UAV_0004,1,0,272
telemetry_25,UAV_0004,2,0,272
telemetry_26,UAV_0004,2,0,272
