split,uav_id,history_length,lower_iqr_bound,upper_iqr_bound,unusual_history_length
train,UAV_0001,259,54.75,414.75,False
train,UAV_0002,253,54.75,414.75,False
train,UAV_0003,222,54.75,414.75,False
train,UAV_0004,272,54.75,414.75,False
train,UAV_0005,213,54.75,414.75,False
train,UAV_0006,278,54.75,414.75,False
train,UAV_0007,424,54.75,414.75,True
train,UAV_0008,267,54.75,414.75,False
train,UAV_0009,406,54.75,414.75,False
train,UAV_0010,481,54.75,414.75,True
train,UAV_0011,197,54.75,414.75,False
train,UAV_0012,170,54.75,414.75,False
train,UAV_0013,185,54.75,414.75,False
train,UAV_0014,207,54.75,414.75,False
train,UAV_0015,202,54.75,414.75,False
train,UAV_0016,344,54.75,414.75,False
train,UAV_0017,312,54.75,414.75,False
train,UAV_0018,447,54.75,414.75,True
train,UAV_0019,229,54.75,414.75,False
train,UAV_0020,338,54.75,414.75,False
train,UAV_0021,220,54.75,414.75,False
train,UAV_0022,192,54.75,414.75,False
train,UAV_0023,196,54.75,414.75,False
train,UAV_0024,494,54.75,414.75,True
train,UAV_0025,193,54.75,414.75,False
train,UAV_0026,243,54.75,414.75,False
train,UAV_0027,320,54.75,414.75,False
train,UAV_0028,200,54.75,414.75,False
train,UAV_0029,223,54.75,414.75,False
train,UAV_0030,218,54.75,414.75,False
train,UAV_0031,183,54.75,414.75,False
train,UAV_0032,189,54.75,414.75,False
train,UAV_0033,231,54.75,414.75,False
train,UAV_0034,459,54.75,414.75,True
train,UAV_0035,231,54.75,414.75,False
train,UAV_0036,324,54.75,414.75,False
train,UAV_0037,324,54.75,414.75,False
train,UAV_0038,201,54.75,414.75,False
train,UAV_0039,288,54.75,414.75,False
train,UAV_0040,188,54.75,414.75,False
train,UAV_0041,295,54.75,414.75,False
train,UAV_0042,193,54.75,414.75,False
train,UAV_0043,321,54.75,414.75,False
train,UAV_0044,180,54.75,414.75,False
train,UAV_0045,205,54.75,414.75,False
train,UAV_0046,204,54.75,414.75,False
train,UAV_0047,269,54.75,414.75,False
train,UAV_0048,174,54.75,414.75,False
