split,uav_id,row_count,robust_extreme_rows,jump_rows,permanent_shift_channels,maximum_shift_score,history_length,unusual_history_length,robust_flags_per_100_cycles,jump_flags_per_100_cycles,nearest_history_rmse,anomaly_priority_score
test,UAV_0124,475,60.0,236.0,0,2.8695647601215146,475,True,12.631578947368421,49.68421052631579,0.9473696589493266,0.689
test,UAV_0171,367,1099.0,239.0,0,2.979319612743188,367,True,299.4550408719346,65.12261580381471,2.6944310422814968,0.658
test,UAV_0123,405,30.0,165.0,0,1.4347823800607573,405,True,7.407407407407407,40.74074074074074,0.854467078554159,0.641
test,UAV_0164,271,94.0,234.0,2,4.565184084053877,271,False,34.686346863468636,86.34686346863468,1.2737532096235242,0.61
test,UAV_0199,289,54.0,220.0,0,2.8695647601215146,289,False,18.685121107266436,76.12456747404845,0.844782611404838,0.6020000000000001
test,UAV_0168,188,85.0,179.0,1,4.103735662602056,188,False,45.212765957446805,95.2127659574468,1.2737532096235242,0.602
test,UAV_0105,138,95.0,190.0,2,3.4223501340380973,138,False,68.84057971014492,137.68115942028984,1.601452750432115,0.595
test,UAV_0180,85,80.0,101.0,2,3.4091168530500493,85,False,94.11764705882354,118.82352941176471,1.6359637046606748,0.593
test,UAV_0130,333,85.0,260.0,2,3.714285714288237,333,False,25.525525525525527,78.07807807807808,1.289909992452572,0.591
test,UAV_0139,310,107.0,205.0,2,4.332176265835708,310,False,34.516129032258064,66.12903225806451,1.2448717092670283,0.591
train,UAV_0024,494,203.0,371.0,2,3.6574427621004872,494,True,41.093117408906885,75.10121457489879,1.6125627089382515,0.7809999999999999
train,UAV_0055,525,200.0,345.0,1,3.5428319024933055,525,True,38.095238095238095,65.71428571428571,1.6908165153954064,0.7529999999999999
train,UAV_0096,491,90.0,240.0,0,2.8695647601215146,491,True,18.329938900203665,48.87983706720978,0.8381766514239567,0.749
train,UAV_0010,481,188.0,294.0,0,2.8695647601215146,481,True,39.08523908523909,61.12266112266112,1.388022518588592,0.669
train,UAV_0007,424,86.0,200.0,0,2.8695647601215146,424,True,20.28301886792453,47.16981132075472,1.2440623304360245,0.612
train,UAV_0018,447,83.0,232.0,0,3.1938367460678787,447,True,18.568232662192393,51.90156599552573,1.2440623304360245,0.6100000000000001
train,UAV_0071,409,163.0,315.0,1,3.096346551247748,409,False,39.85330073349633,77.01711491442543,1.3929727012580935,0.587
train,UAV_0016,344,84.0,252.0,0,2.8695647601215146,344,False,24.41860465116279,73.25581395348837,0.8878499055210217,0.585
train,UAV_0027,320,81.0,259.0,2,3.261846118536539,320,False,25.3125,80.9375,1.3497126418553516,0.581
train,UAV_0073,215,90.0,134.0,2,4.214285714286471,215,False,41.86046511627907,62.325581395348834,1.5941765633698706,0.567
