comparison,split_a,uav_a,split_b,uav_b,overlap_cycles,sampled_points,robust_scaled_rmse,robust_scaled_mean_absolute_difference,near_duplicate
train-train,train,UAV_0006,train,UAV_0067,263,100,0.8649339816308521,0.5988765672055142,False
train-train,train,UAV_0015,train,UAV_0099,145,100,0.8650742746966491,0.6063204485456659,False
train-train,train,UAV_0008,train,UAV_0031,183,100,0.8737317155395543,0.6275355857862609,False
train-train,train,UAV_0008,train,UAV_0067,263,100,0.8764814218003556,0.6311188719123224,False
train-train,train,UAV_0025,train,UAV_0064,193,100,0.8870418563512074,0.62617265070181,False
train-train,train,UAV_0016,train,UAV_0043,321,100,0.8878499055210217,0.6457396243770919,False
train-train,train,UAV_0056,train,UAV_0058,178,100,0.9058950288109712,0.6527121208111188,False
train-train,train,UAV_0031,train,UAV_0040,183,100,0.9098746416787581,0.655206294820827,False
train-train,train,UAV_0053,train,UAV_0093,164,100,0.9154281962003414,0.6513599980716511,False
train-train,train,UAV_0026,train,UAV_0052,222,100,0.9299914211949594,0.6335778543688722,False
train-train,train,UAV_0012,train,UAV_0053,164,100,0.9335979104873624,0.6502234413154372,False
train-train,train,UAV_0045,train,UAV_0060,190,100,0.9411586969649515,0.6806621666639433,False
train-train,train,UAV_0031,train,UAV_0099,145,100,0.9503727184728485,0.693903289666577,False
train-train,train,UAV_0014,train,UAV_0053,164,100,0.9753415378104852,0.7232158199394488,False
train-train,train,UAV_0050,train,UAV_0056,161,100,0.978024822876629,0.7521182174422736,False
train-train,train,UAV_0031,train,UAV_0058,178,100,0.9857288465404788,0.7075260944333149,False
train-train,train,UAV_0043,train,UAV_0088,321,100,0.9886581901982151,0.7025227551190885,False
train-train,train,UAV_0050,train,UAV_0074,161,100,0.988837464807319,0.6953350696878157,False
train-train,train,UAV_0050,train,UAV_0093,161,100,1.0198175602260677,0.6002556365427143,False
train-train,train,UAV_0036,train,UAV_0067,263,100,1.0260484465923014,0.7875377789284537,False
train-train,train,UAV_0021,train,UAV_0060,190,100,1.0354707419074463,0.7519940171466343,False
train-train,train,UAV_0058,train,UAV_0061,178,100,1.0374246042513848,0.706693582163692,False
train-train,train,UAV_0032,train,UAV_0099,145,100,1.042925406719279,0.8041985468214935,False
train-train,train,UAV_0099,train,UAV_0100,145,100,1.0786317461387624,0.6248391727517336,False
train-train,train,UAV_0051,train,UAV_0052,190,100,1.079851764961205,0.7159212632824391,False
train-train,train,UAV_0051,train,UAV_0064,190,100,1.083855721788881,0.6618209525444627,False
train-train,train,UAV_0050,train,UAV_0058,161,100,1.0979409585633122,0.6737619687695315,False
train-train,train,UAV_0003,train,UAV_0051,190,100,1.1012345381948694,0.7043367204572143,False
train-train,train,UAV_0041,train,UAV_0075,259,100,1.104582956350743,0.874736544958192,False
