channel,effectively_constant,pooled_pearson_rul,pooled_spearman_rul,pooled_pearson_cycle,pooled_spearman_cycle,partial_pearson_rul_controlling_cycle,partial_spearman_rul_controlling_cycle,valid_uavs,median_within_pearson_cycle,median_within_spearman_cycle,median_within_pearson_rul,median_within_spearman_rul,median_linear_slope_per_cycle,median_theil_sen_slope_per_cycle,positive_slope_uavs_percent,negative_slope_uavs_percent,dominant_trend_direction,dominant_trend_uavs_percent,median_last_minus_first,median_early_to_late_change,median_early_to_late_effect_size,within_uav_variance_share,between_uav_variance_share,unique_values,flatline_rows_percent,uavs_with_flatline_percent,cluster_id,strongly_correlated_peer_count,maximum_absolute_correlation,test_uavs_compared,minimum_train_uavs_at_same_age,median_standardized_mean_shift,median_absolute_standardized_mean_shift,median_iqr_shift,median_absolute_iqr_shift,outside_train_age_range_percent,rows,robust_extreme_rows,robust_extreme_rows_percent,robust_extreme_uavs,jump_rows,jump_rows_percent,jump_uavs,permanent_shift_uavs,maximum_shift_score,permanent_shift_uavs_percent,degradation_candidate,context_candidate,state_or_regime_candidate,anomaly_review,redundancy_candidate,train_test_drift_warning,removal_candidate,primary_screening_role,secondary_evidence
telemetry_01,False,-0.0563512043285777,-0.0133772758310999,0.0323198114596035,0.0025909394531148,-0.046554120624938,-0.0145631012592422,100,0.013200776965932,0.013738359307549,-0.013200776965932,-0.013738359307549,0.002412020375286,0.0039753922844885,60.0,40.0,increasing,60.0,5.390945665385139,0.1760042076055015,0.0162119714641579,0.20191683551294093,0.7980831644870591,24720,0.0,0.0,1.0,0,,100,4,0.0875695366920565,0.2504201606478179,0.1576927041338709,0.4902889849266346,1.0,24720,1306,5.283171521035598,8,0,0.0,0,0,1.6926418864094284,0.0,False,True,False,True,False,False,False,operating-context candidate,review anomaly flags
telemetry_02,False,0.0002099276463106,0.0019473561426608,-0.0007005068733464,-0.0053534037484777,-0.0001464303155075,-0.0014097880933402,100,-0.0060731051457813,-0.0127677058868752,0.0060731051457813,0.0127677058868752,-0.0006685805965067,0.0006781298444452,44.0,56.00000000000001,decreasing,56.00000000000001,-0.8624989235995288,-0.1871087357562819,-0.0245428425928888,0.9957787583291291,0.004221241670870941,24720,0.0,0.0,13.0,0,,100,4,-0.0587369532926422,0.7072973039176007,-0.0554031862286518,0.5406001171214633,2.0,24720,0,0.0,0,0,0.0,0,0,1.7131995878659712,0.0,False,False,False,False,False,True,False,unclassified or weak evidence,train/test drift warning
telemetry_03,True,,,,,-0.0220692266155993,-0.0067001400295313,0,,,,,0.0,0.0,,,flat,,0.0,0.0,0.0,0.7267916651408064,0.2732083348591936,12,97.83576051779936,100.0,,0,,100,4,0.8943510792531074,0.9428090415820636,,,3.0,24720,0,0.0,0,0,0.0,0,0,0.0,0.0,False,False,False,False,False,False,True,removal candidate,no secondary warning at current thresholds
telemetry_04,False,-0.0054967991861137,-0.0019740589695729,0.0019828023189336,0.0069090872403719,-0.0051836285224734,0.0024805650843663,100,0.0085414037478774,0.001876283537438,-0.0085414037478774,-0.001876283537438,4.978578749181529e-06,0.0,54.0,46.0,increasing,54.0,0.0007111694660508,-0.0003507690376522,-0.0063590713424003,0.9957094061353584,0.004290593864641637,603,0.0,0.0,11.0,0,,100,4,-0.1029422416987511,0.4538492840576252,-0.0312722103765805,0.5904139433552142,5.0,24720,444,1.7961165048543688,99,844,3.4142394822006468,99,0,1.5666666666681544,0.0,False,False,False,True,False,True,False,unclassified or weak evidence,review anomaly flags; train/test drift warning
telemetry_05,False,-0.0013773712136351,-0.001905781964552,0.0032221128335537,0.0019298429214617,0.0002033499155228,-0.000967660661102,100,0.0048303254189284,0.0052735766321638,-0.0048303254189284,-0.0052735766321638,1.3087054584567706e-07,2.7368756460378744e-07,52.0,48.0,increasing,52.0,-3.824790622530827e-05,6.695266797152044e-05,0.026099754018495,0.9780623465456604,0.021937653454339727,24720,0.0,0.0,2.0,0,,100,4,0.246797027700855,0.9464193787930744,0.1650363132207717,0.6125805733577383,16.0,24720,0,0.0,0,0,0.0,0,0,1.364220327460556,0.0,False,False,False,False,False,True,False,unclassified or weak evidence,train/test drift warning
telemetry_06,False,-0.0334645391811119,-0.0879616969708697,-0.3110196911028387,-0.2263214014957412,-0.2205954685485348,-0.2755264189710673,100,0.6340661542277539,0.6130603213037136,-0.6340661542277539,-0.6130603213037136,0.0112464034207171,0.0107423067336687,56.00000000000001,44.0,increasing,56.00000000000001,2.114656713991451,2.058621307855603,1.877528760743691,0.49818630256930924,0.5018136974306907,6440,0.0,0.0,5.0,4,0.9988913084971632,100,4,0.0244441286131833,0.762407719352897,0.0072370111081734,0.523339251004082,3.0,24720,0,0.0,0,0,0.0,0,0,0.803580972741834,0.0,False,True,False,False,True,True,False,operating-context candidate,check correlated peers; train/test drift warning
telemetry_07,False,-0.3634317753562879,-0.4307632485626869,0.5282200070688229,0.4687792069895762,-0.1458234955965829,-0.2214517954941827,44,0.6876814244692968,0.7002520672557062,-0.6876814244692968,-0.7002520672557062,0.0,0.0,100.0,0.0,increasing,100.0,0.0,0.0,0.7149913766762764,0.8666610834139479,0.1333389165860521,4,96.54126213592232,100.0,6.0,4,0.9509718637050842,100,4,-0.195241281738665,0.5437258088296312,0.25,0.8003635846102235,6.0,24720,0,0.0,0,666,2.6941747572815533,44,0,2.869564760121514,0.0,True,False,True,True,True,True,False,degradation candidate,review anomaly flags; check correlated peers; train/test drift warning
telemetry_08,True,,,,,,-0.0157448347301856,0,,,,,0.0,0.0,,,flat,,0.0,0.0,0.0,0.05672887495498549,0.9432711250450145,66,92.99352750809061,97.0,,0,,100,4,-0.2639107282924874,0.3360753008568756,,,0.0,24720,0,0.0,0,0,0.0,0,0,0.0,0.0,False,False,False,False,False,False,True,removal candidate,no secondary warning at current thresholds
telemetry_09,False,0.0004273883011728,-0.0008944270888466,-0.0004399805118934,0.0015033241724526,0.0002454895583946,-3.0251932023468967e-05,100,0.0101868562270861,0.0069288622996692,-0.0101868562270861,-0.0069288622996692,0.0011515764363811,-0.0001205243729889,56.00000000000001,44.0,increasing,56.00000000000001,-1.5831222336996973,0.27304828545752,0.0293971757502318,0.9945474539174434,0.005452546082556695,24720,0.0,0.0,12.0,0,,100,4,0.0236652763361994,0.7157970479263976,0.043261988512291,0.6177900894982115,3.0,24720,0,0.0,0,0,0.0,0,0,1.979326714555796,0.0,False,False,False,False,False,True,False,unclassified or weak evidence,train/test drift warning
telemetry_10,False,-0.0042671894211552,0.0073272517601595,0.0043884769618899,-0.0041919059174765,-0.002453520202704,0.0060100366181336,100,-0.0053873004386781,-0.006383304231624,0.0053873004386781,0.006383304231624,-0.0001564210365512,0.000264544205562,46.0,54.0,decreasing,54.0,-0.1828585929941368,-0.0043642524436506,-0.0017515633957174,0.9961850395406234,0.0038149604593766128,24720,0.0,0.0,10.0,0,,100,4,-0.0271388368168549,0.3962698130176993,-0.0148015018916806,0.5863285975358771,5.0,24720,444,1.7961165048543688,99,848,3.43042071197411,99,0,1.6192608056336828,0.0,False,False,False,True,False,True,False,unclassified or weak evidence,review anomaly flags; train/test drift warning
