channel,effectively_constant,cluster_id,strongly_correlated_peer_count,maximum_absolute_correlation
telemetry_01,False,1.0,0,
telemetry_02,False,13.0,0,
telemetry_03,True,,0,
telemetry_04,False,11.0,0,
telemetry_05,False,2.0,0,
telemetry_06,False,5.0,4,0.9988913084971631
telemetry_07,False,6.0,4,0.9509718637050842
telemetry_08,True,,0,
telemetry_09,False,12.0,0,
telemetry_10,False,10.0,0,
telemetry_11,False,5.0,3,0.9783152960883355
telemetry_12,False,5.0,4,0.9988913084971631
telemetry_13,False,8.0,4,0.995057166293914
telemetry_14,True,,0,
telemetry_15,False,3.0,1,0.9830976575303368
telemetry_16,False,8.0,4,0.9915897511795957
telemetry_17,True,,0,
telemetry_18,False,9.0,0,
telemetry_19,False,4.0,1,0.9992544122610475
telemetry_20,True,,0,
telemetry_21,False,4.0,1,0.9992544122610475
telemetry_22,False,8.0,4,0.9915897511795957
telemetry_23,False,3.0,1,0.9830976575303368
telemetry_24,False,5.0,3,0.9470975986445198
telemetry_25,False,8.0,4,0.9932689040033045
telemetry_26,False,7.0,0,
telemetry_27,True,,0,
telemetry_28,False,8.0,4,0.995057166293914
