experiment,status,comparison_scope,phase_2_run_number,scenario_profile,target_profile,prediction_profile,model_family,outer_fold_studies,inner_rmse_mean,inner_rmse_fold_sd,inner_rmse_min,inner_rmse_max,inner_r2_mean,inner_r2_fold_sd,inner_bias_mean,inner_overprediction_rate_mean,inner_rms_overprediction_mean,inner_underprediction_rate_mean
PE_2x2_current_cap125,complete,selection,7,current,capped_125,symmetric,extra_trees,5,37.10998707896,2.5883645483609103,33.7691842984,40.1998316414,0.6524986360194001,0.027141440571388956,-10.736966595698,0.5095,8.093070337406001,0.49049999999999994
PE_2x2_current_cap125,complete,selection,7,current,capped_125,symmetric,xgboost,5,36.214098674759995,2.564489251801871,32.8482749397,39.1646091092,0.6689766022644,0.026651023399462643,-10.848755283352,0.46699999999999997,8.103712483334,0.533
PE_2x2_early_cap125,complete,selection,9,early_and_middle,capped_125,symmetric,extra_trees,5,12.2693036076,0.8426834384988594,11.5775859867,13.6797180822,0.8597808513646001,0.025346165977411947,-1.086417379484,0.4715,7.834466730004,0.5285
PE_2x2_early_cap125,complete,selection,9,early_and_middle,capped_125,symmetric,xgboost,5,11.9745721124,0.9417538529296957,11.0455222965,13.3823849939,0.8661227329428,0.026140576235405857,-0.900726926803,0.47300000000000003,7.791315962284,0.5269999999999999
PE_2x2_early_raw,complete,selection,8,early_and_middle,raw,symmetric,extra_trees,5,26.6405606438,2.9202049373717456,21.6990875705,29.2613123686,0.2703129769488,0.1838174913845165,10.602083042954,0.6759999999999999,25.34457814666,0.324
PE_2x2_early_raw,complete,selection,8,early_and_middle,raw,symmetric,xgboost,5,23.36666249508,1.5325829393105153,21.0794442671,25.2604840393,0.4867225508494,0.05951053197408222,11.497257097243999,0.7135,21.87369329014,0.28650000000000003
PE_1,complete,selection,6,current,raw,symmetric,extra_trees,5,32.75780548962,2.6544531709556947,29.9042821104,35.5826853412,0.726426491045,0.03495202898473791,4.490598772749999,0.6599999999999999,22.90915747076,0.34
PE_1,complete,selection,6,current,raw,symmetric,mean_baseline,5,72.87971072304,2.469238292341238,68.8602996996,74.8630592357,-0.3967829204296,0.11139271726361546,35.3635,0.7555,62.09003669832,0.2445
PE_1,complete,selection,6,current,raw,symmetric,random_forest,5,31.07492620914,1.9640385304232737,28.8133080181,34.0350510194,0.7534345150164,0.017720549375370057,4.156949387446,0.646,22.13917067774,0.354
PE_1,complete,selection,6,current,raw,symmetric,xgboost,5,29.805904383199998,1.7513252798555212,26.8603281695,31.2463808869,0.7708003999682,0.018279900699492747,5.216466543198,0.6735,21.25767838486,0.3265
