split,channel,uav_id,extreme_rows,maximum_extreme_run,isolated_extremes_percent,first_extreme_cycle,last_extreme_cycle
train,telemetry_01,UAV_0001,215,160,5.116279069767442,1,255
train,telemetry_01,UAV_0035,231,231,0.0,1,231
train,telemetry_01,UAV_0068,183,120,1.092896174863388,4,201
train,telemetry_01,UAV_0072,186,131,3.225806451612903,1,227
train,telemetry_01,UAV_0076,153,153,0.0,1,153
train,telemetry_01,UAV_0078,217,201,0.0,1,221
train,telemetry_01,UAV_0085,177,138,4.519774011299435,1,220
train,telemetry_01,UAV_0089,112,84,6.25,1,152
train,telemetry_04,UAV_0001,6,1,100.0,3,208
train,telemetry_04,UAV_0002,4,1,100.0,10,230
train,telemetry_04,UAV_0003,2,1,100.0,57,130
train,telemetry_04,UAV_0004,7,1,100.0,39,255
train,telemetry_04,UAV_0005,7,2,71.42857142857143,11,167
train,telemetry_04,UAV_0006,4,1,100.0,19,246
train,telemetry_04,UAV_0007,12,1,100.0,41,378
train,telemetry_04,UAV_0008,7,1,100.0,24,265
train,telemetry_04,UAV_0009,6,1,100.0,10,377
train,telemetry_04,UAV_0010,9,1,100.0,65,464
train,telemetry_04,UAV_0011,2,1,100.0,42,175
train,telemetry_04,UAV_0012,2,1,100.0,53,150
train,telemetry_04,UAV_0013,4,1,100.0,4,86
train,telemetry_04,UAV_0014,2,1,100.0,51,183
train,telemetry_04,UAV_0015,4,1,100.0,6,155
train,telemetry_04,UAV_0016,10,1,100.0,12,268
train,telemetry_04,UAV_0017,7,1,100.0,50,304
train,telemetry_04,UAV_0018,5,1,100.0,66,332
train,telemetry_04,UAV_0019,3,1,100.0,151,218
train,telemetry_04,UAV_0020,10,1,100.0,2,306
train,telemetry_04,UAV_0021,1,1,100.0,10,10
train,telemetry_04,UAV_0022,9,2,77.77777777777779,18,189
train,telemetry_04,UAV_0023,3,1,100.0,31,144
train,telemetry_04,UAV_0024,12,2,83.33333333333334,12,474
train,telemetry_04,UAV_0025,2,1,100.0,43,87
train,telemetry_04,UAV_0026,3,1,100.0,22,105
train,telemetry_04,UAV_0027,5,1,100.0,26,308
train,telemetry_04,UAV_0028,3,1,100.0,2,150
train,telemetry_04,UAV_0029,4,1,100.0,11,176
train,telemetry_04,UAV_0030,3,1,100.0,7,145
