split,channel_a,channel_b,cooccurring_rows
train,telemetry_01,telemetry_01,1474
train,telemetry_01,telemetry_04,23
train,telemetry_01,telemetry_10,23
train,telemetry_01,telemetry_11,23
train,telemetry_01,telemetry_18,1404
train,telemetry_01,telemetry_24,25
train,telemetry_01,telemetry_26,1168
train,telemetry_04,telemetry_04,444
train,telemetry_04,telemetry_10,444
train,telemetry_04,telemetry_11,444
train,telemetry_04,telemetry_18,28
train,telemetry_04,telemetry_24,444
train,telemetry_04,telemetry_26,27
train,telemetry_10,telemetry_10,444
train,telemetry_10,telemetry_11,444
train,telemetry_10,telemetry_18,28
train,telemetry_10,telemetry_24,444
train,telemetry_10,telemetry_26,27
train,telemetry_11,telemetry_11,444
train,telemetry_11,telemetry_18,28
train,telemetry_11,telemetry_24,444
train,telemetry_11,telemetry_26,27
train,telemetry_18,telemetry_18,1706
train,telemetry_18,telemetry_24,58
train,telemetry_18,telemetry_26,1393
train,telemetry_24,telemetry_24,1131
train,telemetry_24,telemetry_26,397
train,telemetry_26,telemetry_26,1787
test,telemetry_01,telemetry_01,0
test,telemetry_01,telemetry_04,0
test,telemetry_01,telemetry_10,0
test,telemetry_01,telemetry_11,0
test,telemetry_01,telemetry_18,0
test,telemetry_01,telemetry_24,0
test,telemetry_01,telemetry_26,0
test,telemetry_04,telemetry_04,298
test,telemetry_04,telemetry_10,0
test,telemetry_04,telemetry_11,0
test,telemetry_04,telemetry_18,0
test,telemetry_04,telemetry_24,298
test,telemetry_04,telemetry_26,0
test,telemetry_10,telemetry_10,0
test,telemetry_10,telemetry_11,0
test,telemetry_10,telemetry_18,0
test,telemetry_10,telemetry_24,0
test,telemetry_10,telemetry_26,0
test,telemetry_11,telemetry_11,0
test,telemetry_11,telemetry_18,0
test,telemetry_11,telemetry_24,0
test,telemetry_11,telemetry_26,0
test,telemetry_18,telemetry_18,0
test,telemetry_18,telemetry_24,0
test,telemetry_18,telemetry_26,0
test,telemetry_24,telemetry_24,355
test,telemetry_24,telemetry_26,6
test,telemetry_26,telemetry_26,6
