split,channel,uav_id,flight_cycle,RUL,value,previous_value,next_value,direction,lower_bound,upper_bound,distance_beyond_bound_iqr,extreme_run_length,isolated_spike,cooccurring_channel_count,cooccurring_channels,change_from_previous,change_to_next
test,telemetry_04,UAV_0101,98,,-125.55620624564462,-125.87101026067972,-125.87243259961178,high,-126.04453561039314,-125.74584443465695,4.444280350145725,1,True,2,telemetry_04;telemetry_24,0.3148040150351079,-0.31622635396716703
test,telemetry_04,UAV_0102,40,,-126.28755940944934,-125.88096663320424,-125.90230171718544,low,-126.04453561039314,-125.74584443465695,5.695402916408547,1,True,2,telemetry_04;telemetry_24,-0.40659277624510537,0.38525769226390594
test,telemetry_04,UAV_0102,64,,-125.59917321483977,-125.8852336500005,-125.8980347003892,high,-126.04453561039314,-125.74584443465695,3.4373246420478005,1,True,2,telemetry_04;telemetry_24,0.286060435160735,-0.2988614855494376
test,telemetry_04,UAV_0102,67,,-126.34839408672842,-125.8510975156306,-125.8454081599023,low,-126.04453561039314,-125.74584443465695,7.121098670238357,1,True,2,telemetry_04;telemetry_24,-0.4972965710978201,0.5029859268261134
test,telemetry_04,UAV_0102,86,,-126.19959842004528,-125.94781656301194,-125.9506612408761,low,-126.04453561039314,-125.74584443465695,3.633986390423594,1,True,2,telemetry_04;telemetry_24,-0.2517818570333361,0.24893717916917524
test,telemetry_04,UAV_0103,108,,-125.51449914294298,-125.90656873398169,-125.88665598893256,high,-126.04453561039314,-125.74584443465695,5.421710360228462,1,True,2,telemetry_04;telemetry_24,0.3920695910387053,-0.3721568459895792
test,telemetry_04,UAV_0103,117,,-125.57814622839206,-125.83971880417398,-125.86389856601932,high,-126.04453561039314,-125.74584443465695,3.930104198628864,1,True,2,telemetry_04;telemetry_24,0.2615725757819263,-0.28575233762725816
test,telemetry_04,UAV_0103,156,,-125.5681758082385,-125.8838113110684,-125.91510276757414,high,-126.04453561039314,-125.74584443465695,4.163766746251604,1,True,2,telemetry_04;telemetry_24,0.31563550282990605,-0.3469269593356472
test,telemetry_04,UAV_0103,186,,-125.48359792888664,-125.8838113110684,-125.90514639504958,high,-126.04453561039314,-125.74584443465695,6.145898136654243,1,True,2,telemetry_04;telemetry_24,0.40021338218176084,-0.42154846616294606
test,telemetry_04,UAV_0104,57,,-126.33003918751685,-125.95492825767234,-125.86958792174764,low,-126.04453561039314,-125.74584443465695,6.690941019399386,1,True,2,telemetry_04;telemetry_24,-0.3751109298445101,0.46045126576920836
test,telemetry_04,UAV_0104,67,,-126.26286584781538,-125.90941341184585,-125.87527727747594,low,-126.04453561039314,-125.74584443465695,5.116695055315139,1,True,2,telemetry_04;telemetry_24,-0.3534524359695297,0.3875885703394317
test,telemetry_04,UAV_0105,9,,-125.49619542804872,-125.88238897213634,-125.90514639504958,high,-126.04453561039314,-125.74584443465695,5.850668477066079,1,True,2,telemetry_04;telemetry_24,0.3861935440876181,-0.4089509670008624
test,telemetry_04,UAV_0105,11,,-125.4517690823638,-125.90514639504958,-125.85678687135892,high,-126.04453561039314,-125.74584443465695,6.891825515026724,1,True,2,telemetry_04;telemetry_24,0.45337731268578807,-0.4050177889951243
test,telemetry_04,UAV_0105,57,,-126.34037572792194,-125.91368042864208,-125.92790381796284,low,-126.04453561039314,-125.74584443465695,6.9331838063089934,1,True,2,telemetry_04;telemetry_24,-0.4266952992798565,0.4124719099590948
test,telemetry_04,UAV_0105,61,,-126.26716259759158,-125.84398582097022,-125.89945703932128,low,-126.04453561039314,-125.74584443465695,5.217391864851886,1,True,2,telemetry_04;telemetry_24,-0.4231767766213608,0.36770555827030194
test,telemetry_04,UAV_0105,122,,-125.51327226567756,-125.86389856601932,-125.90372405611753,high,-126.04453561039314,-125.74584443465695,5.450462936653926,1,True,2,telemetry_04;telemetry_24,0.3506263003417587,-0.39045179043996825
test,telemetry_04,UAV_0105,125,,-126.29941985184496,-125.8980347003892,-125.88096663320424,low,-126.04453561039314,-125.74584443465695,5.973359225511685,1,True,2,telemetry_04;telemetry_24,-0.4013851514557558,0.41845321864072105
test,telemetry_04,UAV_0106,40,,-125.51658354218463,-125.95208357980816,-125.89945703932128,high,-126.04453561039314,-125.74584443465695,5.372861261638224,1,True,2,telemetry_04;telemetry_24,0.43550003762352674,-0.382873497136643
test,telemetry_04,UAV_0107,4,,-126.37751792854014,-125.90656873398169,-125.92221446223454,low,-126.04453561039314,-125.74584443465695,7.803632702854466,1,True,2,telemetry_04;telemetry_24,-0.4709491945584574,0.45530346630560814
test,telemetry_04,UAV_0107,17,,-126.31785990675648,-125.86247622708724,-125.83971880417398,low,-126.04453561039314,-125.74584443465695,6.40551254930007,1,True,2,telemetry_04;telemetry_24,-0.4553836796692394,0.478141102582498
test,telemetry_04,UAV_0107,36,,-126.37271297214312,-125.86958792174764,-125.8326071095136,low,-126.04453561039314,-125.74584443465695,7.691025778005527,1,True,2,telemetry_04;telemetry_24,-0.5031250503954823,0.5401058626295168
test,telemetry_04,UAV_0107,47,,-125.56843097423864,-125.858209210291,-125.89519002252504,high,-126.04453561039314,-125.74584443465695,4.157786783848602,1,True,2,telemetry_04;telemetry_24,0.2897782360523564,-0.3267590482864051
test,telemetry_04,UAV_0108,29,,-125.41030752693564,-125.92790381796284,-125.90372405611753,high,-126.04453561039314,-125.74584443465695,7.863500983114305,1,True,2,telemetry_04;telemetry_24,0.5175962910272034,-0.4934165291818857
test,telemetry_04,UAV_0108,124,,-125.5715854988258,-125.90941341184585,-125.89519002252504,high,-126.04453561039314,-125.74584443465695,4.083858680496727,1,True,2,telemetry_04;telemetry_24,0.33782791302004966,-0.3236045236992453
test,telemetry_04,UAV_0108,178,,-125.4514431418486,-125.83971880417398,-125.9165251065062,high,-126.04453561039314,-125.74584443465695,6.89946411901545,1,True,2,telemetry_04;telemetry_24,0.388275662325384,-0.46508196465759966
test,telemetry_04,UAV_0109,11,,-126.25296562971398,-125.90514639504958,-125.9179474454383,low,-126.04453561039314,-125.74584443465695,4.884677733280296,1,True,2,telemetry_04;telemetry_24,-0.34781923466439935,0.33501818427568253
test,telemetry_04,UAV_0109,69,,-126.34286819099032,-125.89234534466088,-125.91510276757414,low,-126.04453561039314,-125.74584443465695,6.991596116065539,1,True,2,telemetry_04;telemetry_24,-0.4505228463294344,0.42776542341617585
