channel,minimum_run,median_longest_run,maximum_run,uavs_with_flatline_percent,rows_in_flatlines_percent
telemetry_01,5,1.0,1,0.0,0.0
telemetry_02,5,1.0,1,0.0,0.0
telemetry_03,5,105.0,213,100.0,97.83576051779936
telemetry_04,5,2.0,3,0.0,0.0
telemetry_05,5,1.0,1,0.0,0.0
telemetry_06,5,1.0,2,0.0,0.0
telemetry_07,5,192.5,434,100.0,96.54126213592232
telemetry_08,5,210.0,525,97.0,92.99352750809061
telemetry_09,5,1.0,1,0.0,0.0
telemetry_10,5,1.0,1,0.0,0.0
telemetry_11,5,1.0,2,0.0,0.0
telemetry_12,5,2.0,3,0.0,0.0
telemetry_13,5,1.0,1,0.0,0.0
telemetry_14,5,210.0,525,99.0,93.91990291262135
telemetry_15,5,1.0,2,0.0,0.0
telemetry_16,5,6.0,10,90.0,4.761326860841424
telemetry_17,5,105.0,213,100.0,97.83576051779936
telemetry_18,5,1.0,1,0.0,0.0
telemetry_19,5,1.0,1,0.0,0.0
telemetry_20,5,220.5,525,100.0,100.0
telemetry_21,5,3.0,5,1.0,0.020226537216828478
telemetry_22,5,1.0,2,0.0,0.0
telemetry_23,5,1.0,1,0.0,0.0
telemetry_24,5,1.0,1,0.0,0.0
telemetry_25,5,2.0,3,0.0,0.0
telemetry_26,5,2.0,2,0.0,0.0
telemetry_27,5,220.5,525,100.0,100.0
telemetry_28,5,1.0,1,0.0,0.0
