uav_id,telemetry_01,telemetry_02,telemetry_03,telemetry_04,telemetry_05,telemetry_06,telemetry_07,telemetry_08,telemetry_09,telemetry_10,telemetry_11,telemetry_12,telemetry_13,telemetry_14,telemetry_15,telemetry_16,telemetry_17,telemetry_18,telemetry_19,telemetry_20,telemetry_21,telemetry_22,telemetry_23,telemetry_24,telemetry_25,telemetry_26,telemetry_27,telemetry_28
UAV_0001,-2.369681328317712,11.913161571802343,30377.82504938608,-125.8973182236111,-113.52631046810876,-137.35912767091153,140.5912754437698,-4680.605940223174,-152.45279584234353,-62.690090901068956,62.675520549222654,636.0983447172804,7135.598927322566,-648.8153498138001,50070.91408909458,-696.2196758515818,40.41581228213973,-104.73203930828664,33504.78519561308,-164.8973841769026,34961.42118632672,23058.437428347162,-17397.500057844994,-3646.645466108687,-172.32774345684464,-6767.472834461561,969.0302044744708,-9777.336712450218
UAV_0002,87.11710634865162,11.898909974369378,30377.82504938608,-125.89991824987013,-113.52545894282007,-139.32788461419096,140.60792163449017,-4680.605940223165,-152.93986213975816,-62.229010985366436,62.16876188645545,639.8138981705497,7131.845249602072,-648.8153498138018,50044.18746664215,-694.6951728916916,40.41581228213973,-103.03260311402221,33504.77807367233,-164.8973841769026,34961.36004050019,23010.476031060207,-17382.285919150887,-3661.142610419062,-171.8026042078931,-7507.133223062257,969.0302044744708,-9733.645866288409
UAV_0003,85.96620668851502,12.145953794380802,30377.82504938608,-125.89781638998004,-113.52527901425526,-137.3690766585306,140.5912754437698,-4680.605940223165,-151.7924671815961,-62.18564114024482,62.563844965650645,636.1921847066802,7135.664925264633,-648.8153498138018,50032.35241403018,-695.9897741002404,40.41581228213973,-103.32523182870233,33504.90184453353,-164.8973841769026,34961.55423074929,23048.30270752874,-17383.241117521688,-3641.169056007203,-172.3051024523247,-7470.552208140029,969.0302044744708,-9771.45481871223
UAV_0004,88.10665648190123,11.964027482755316,30377.82504938608,-125.89215602559459,-113.52600405496179,-136.15367765417386,140.5912754437698,-4680.605940223165,-153.0268757154832,-62.1644888023553,62.84537129834706,634.3631499269859,7139.958166920588,-648.8153498138018,49933.54852789074,-698.0550658254715,40.41581228213973,-103.32684586982505,33506.206413155174,-164.8973841769026,34962.92019410373,23116.59273681969,-17355.39956916066,-3635.599343687016,-173.11060397506364,-7458.615109192956,969.0302044744708,-9837.537948559439
UAV_0005,86.04736426084858,11.775810773277287,30377.82504938608,-125.89783876686607,-113.52622373472084,-136.52322412742927,140.5912754437698,-4680.605940223165,-152.44613398285446,-62.67534055717699,62.754567036642165,634.8230744094726,7138.837894311022,-648.8153498138018,50004.88802767965,-697.4327196061635,40.41581228213973,-103.3277305517339,33505.722854784675,-164.89738417690262,34962.34212234044,23100.781777469405,-17378.60429727101,-3634.412248104185,-172.85173987306345,-7462.406533949149,969.0302044744709,-9813.362758521365
UAV_0006,86.75537088128023,11.488408557485828,30377.82504938608,-125.89652806443772,-113.5254692361378,-136.73746352234275,140.5912754437698,-4680.605940223165,-153.18709128937908,-62.63869502444557,62.727619045430444,635.1136120799197,7137.6643522608965,-648.8153498138018,50034.48114582513,-697.1757103293866,40.41581228213973,-103.32677684277724,33505.42030761927,-164.8973841769026,34962.07326988129,23094.46778481516,-17387.926145355374,-3637.954229350662,-172.75727817671358,-7463.698966792532,969.0302044744708,-9804.440602282506
UAV_0007,86.79713987485707,11.601572452788949,30377.82504938608,-125.89987003192925,-113.5261931649817,-138.94844051195244,140.60708676104338,-4680.605940223165,-151.36929242138868,-62.35987976801664,62.20831624347672,639.1466927513328,7131.0782101628465,-648.8153498138018,50027.27673589693,-694.2188009853389,40.41581228213973,-102.9866168799184,33504.37517771187,-164.8973841769026,34960.96133216701,22998.6839027618,-17377.756636169208,-3659.1023129707805,-171.66426729032153,-7495.995101119958,969.0302044744708,-9725.62758638521
UAV_0008,85.7752819978187,10.751092532725815,30377.82504938608,-125.8941934697589,-113.52624874457767,-136.20075069915936,140.5912754437698,-4680.605940223165,-152.36647318516398,-62.57721958552824,62.78468085494661,634.3206009796604,7139.657277434355,-648.8153498138018,49971.29098281234,-697.9638895531509,40.41581228213973,-103.32759784675541,33506.01228609838,-164.8973841769026,34962.698265955165,23113.60789102196,-17367.312419037968,-3636.7107779520975,-173.07747261286278,-7459.306336451628,969.0302044744708,-9829.711281427502
UAV_0009,87.17606295033548,11.102170369033075,30377.82504938608,-125.89459674574819,-113.52571558435483,-140.31096599416813,140.6255702448588,-4680.605940223165,-153.4409422782677,-62.48593987476376,62.11657511706129,641.568404917524,7134.233240044484,-648.8153498138018,50094.36810385193,-696.1925448280305,40.41581228213973,-103.24212309734483,33506.204935135225,-164.8973841769026,34962.9465914884,23052.49558988187,-17404.22690029431,-3684.809975373051,-172.28904703925707,-7547.4484031809425,969.0302044744708,-9763.55651064112
UAV_0010,86.03886284418951,11.29237846144833,30377.82504938608,-125.8934543800352,-113.52538905605383,-138.29077806179978,140.5978868821564,-4680.605940223165,-153.1559659912521,-62.22274389945722,62.32054475711971,637.7417014631545,7130.637138897867,-648.8153498138018,50001.773659278784,-693.3985289686176,40.415812282139726,-102.7671485828082,33503.01287817256,-164.8973841769026,34959.58152395199,22974.349411658884,-17367.615677386453,-3640.9685214543756,-171.514625483836,-7471.239846402273,969.0302044744708,-9716.843052762284
