split,channel,rows,robust_extreme_rows,robust_extreme_rows_percent,robust_extreme_uavs,jump_rows,jump_rows_percent,jump_uavs,permanent_shift_uavs,maximum_shift_score,permanent_shift_uavs_percent
train,telemetry_01,24720,1306,5.283171521035598,8,0,0.0,0,0,1.6926418864094284,0.0
train,telemetry_02,24720,0,0.0,0,0,0.0,0,0,1.7131995878659712,0.0
train,telemetry_03,24720,0,0.0,0,0,0.0,0,0,0.0,0.0
train,telemetry_04,24720,444,1.7961165048543688,99,844,3.4142394822006468,99,0,1.5666666666681544,0.0
train,telemetry_05,24720,0,0.0,0,0,0.0,0,0,1.364220327460556,0.0
train,telemetry_06,24720,0,0.0,0,0,0.0,0,0,0.803580972741834,0.0
train,telemetry_07,24720,0,0.0,0,666,2.6941747572815533,44,0,2.8695647601215146,0.0
train,telemetry_08,24720,0,0.0,0,0,0.0,0,0,0.0,0.0
train,telemetry_09,24720,0,0.0,0,0,0.0,0,0,1.9793267145557958,0.0
train,telemetry_10,24720,444,1.7961165048543688,99,848,3.43042071197411,99,0,1.6192608056336828,0.0
train,telemetry_11,24720,444,1.7961165048543688,99,871,3.523462783171521,99,0,0.7634615384615274,0.0
train,telemetry_12,24720,0,0.0,0,0,0.0,0,0,0.8548387096774425,0.0
train,telemetry_13,24720,0,0.0,0,0,0.0,0,0,0.9633155977438319,0.0
train,telemetry_14,24720,0,0.0,0,0,0.0,0,0,0.0,0.0
train,telemetry_15,24720,183,0.7402912621359223,13,0,0.0,0,0,2.1905570652174817,0.0
train,telemetry_16,24720,0,0.0,0,0,0.0,0,0,0.8333333333333551,0.0
train,telemetry_17,24720,0,0.0,0,0,0.0,0,0,0.0,0.0
train,telemetry_18,24720,1792,7.249190938511327,9,4815,19.478155339805824,84,0,1.6402802797000269,0.0
train,telemetry_19,24720,333,1.3470873786407767,13,454,1.8365695792880259,13,5,4.158170413915567,5.0
train,telemetry_20,24720,0,0.0,0,0,0.0,0,0,0.0,0.0
train,telemetry_21,24720,288,1.1650485436893203,13,467,1.88915857605178,14,5,4.214285714286471,5.0
train,telemetry_22,24720,0,0.0,0,0,0.0,0,0,1.0309334793320544,0.0
train,telemetry_23,24720,178,0.7200647249190939,13,0,0.0,0,0,2.060773991589735,0.0
train,telemetry_24,24720,1144,4.627831715210355,99,875,3.539644012944984,99,0,1.3036140839058121,0.0
train,telemetry_25,24720,0,0.0,0,0,0.0,0,0,1.0121951219511869,0.0
train,telemetry_26,24720,2088,8.446601941747572,48,498,2.0145631067961167,8,0,2.0079836187884865,0.0
train,telemetry_27,24720,0,0.0,0,0,0.0,0,0,0.0,0.0
train,telemetry_28,24720,0,0.0,0,0,0.0,0,0,0.8671560337706085,0.0
test,telemetry_01,16596,0,0.0,0,0,0.0,0,0,1.3383814971700316,0.0
test,telemetry_02,16596,0,0.0,0,0,0.0,0,0,1.5142559596455452,0.0
test,telemetry_03,16596,0,0.0,0,0,0.0,0,0,0.0,0.0
test,telemetry_04,16596,298,1.7956134008194746,93,570,3.434562545191613,93,0,1.4166666666677212,0.0
test,telemetry_05,16596,1615,9.731260544709569,93,569,3.4285369968667148,93,2,4.634307284641761,2.0
test,telemetry_06,16596,0,0.0,0,0,0.0,0,0,0.8046499198289473,0.0
test,telemetry_07,16596,745,4.489033502048686,6,245,1.4762593395999037,28,1,4.270228304849022,1.0
test,telemetry_08,16596,0,0.0,0,0,0.0,0,0,0.0,0.0
test,telemetry_09,16596,0,0.0,0,0,0.0,0,0,1.553196436253408,0.0
test,telemetry_10,16596,0,0.0,0,0,0.0,0,0,1.3672522393309572,0.0
test,telemetry_11,16596,0,0.0,0,0,0.0,0,0,0.7294871794871876,0.0
test,telemetry_12,16596,0,0.0,0,0,0.0,0,0,0.758064516129034,0.0
test,telemetry_13,16596,0,0.0,0,0,0.0,0,0,0.8786367273686958,0.0
test,telemetry_14,16596,0,0.0,0,0,0.0,0,0,0.0,0.0
test,telemetry_15,16596,298,1.7956134008194746,93,584,3.5189202217401787,93,0,0.8675271739130364,0.0
test,telemetry_16,16596,298,1.7956134008194746,93,584,3.5189202217401787,93,0,0.6666666666666885,0.0
test,telemetry_17,16596,0,0.0,0,0,0.0,0,0,0.0,0.0
test,telemetry_18,16596,0,0.0,0,3163,19.058809351651,80,0,0.3591811474228278,0.0
test,telemetry_19,16596,367,2.2113762352374065,13,434,2.6150879730055436,13,12,4.565184084053877,12.0
test,telemetry_20,16596,0,0.0,0,0,0.0,0,0,0.0,0.0
test,telemetry_21,16596,328,1.9763798505664016,13,453,2.7295733911785973,13,11,4.035714285712646,11.0
test,telemetry_22,16596,1119,6.742588575560377,8,2,0.012051096649795132,2,0,2.4313408185418672,0.0
test,telemetry_23,16596,0,0.0,0,0,0.0,0,0,0.864989517138167,0.0
test,telemetry_24,16596,362,2.1812484936129186,93,587,3.5369968667148712,93,0,1.0732820697942784,0.0
test,telemetry_25,16596,0,0.0,0,0,0.0,0,0,0.8048780487804839,0.0
test,telemetry_26,16596,44,0.2651241262954929,7,0,0.0,0,0,0.8606060606060746,0.0
test,telemetry_27,16596,0,0.0,0,0,0.0,0,0,0.0,0.0
test,telemetry_28,16596,0,0.0,0,0,0.0,0,0,0.807416567306553,0.0
