split,uav_id,flight_cycle,channel,value,RUL,previous_value,cycle_to_cycle_change,robust_jump_z
train,UAV_0001,3,telemetry_04,-126.3275285002172,256.0,-125.90656873398169,-0.42095976623551223,-9.073833695958358
train,UAV_0001,4,telemetry_04,-125.86674324388348,255.0,-126.3275285002172,0.4607852563337218,9.932276480747003
train,UAV_0001,129,telemetry_04,-126.21298987393018,130.0,-125.8852336500005,-0.32775622392968273,-7.0648211712693145
train,UAV_0001,130,telemetry_04,-125.90656873398169,129.0,-126.21298987393018,0.3064211399484975,6.604941107989651
train,UAV_0001,155,telemetry_04,-125.48492960999316,104.0,-125.89661236145712,0.4116827514639567,8.873866630257954
train,UAV_0001,156,telemetry_04,-125.88665598893256,103.0,-125.48492960999316,-0.4017263789394008,-8.659255934060715
train,UAV_0001,204,telemetry_04,-126.3830199375565,55.0,-125.94212720728363,-0.44089273027286424,-9.503490910850628
train,UAV_0001,205,telemetry_04,-125.86389856601932,54.0,-126.3830199375565,0.5191213715371816,11.189717809542115
train,UAV_0001,206,telemetry_04,-125.51328589958275,53.0,-125.86389856601932,0.35061266643656097,7.557494283579568
train,UAV_0001,207,telemetry_04,-125.8909230057288,52.0,-125.51328589958275,-0.3776371061460395,-8.140009030399986
train,UAV_0001,208,telemetry_04,-125.54544193689463,51.0,-125.8909230057288,0.34548106883416096,7.446882137304511
train,UAV_0001,209,telemetry_04,-125.9236368011666,50.0,-125.54544193689463,-0.37819486427196125,-8.152031567666295
train,UAV_0002,10,telemetry_04,-126.30654721282744,243.0,-125.88950066679674,-0.41704654603070423,-8.989483807436645
train,UAV_0002,11,telemetry_04,-125.86958792174764,242.0,-126.30654721282744,0.4369592910798019,9.418705199830814
train,UAV_0002,143,telemetry_04,-126.25573621086072,110.0,-125.89661236145712,-0.359123849403602,-7.740953761166784
train,UAV_0002,144,telemetry_04,-125.949238901944,109.0,-126.25573621086072,0.3064973089167182,6.606582938411138
train,UAV_0002,223,telemetry_04,-125.48279689426336,30.0,-125.88807832786463,0.40528143360127444,8.735885525221777
train,UAV_0002,224,telemetry_04,-125.82691775378528,29.0,-125.48279689426336,-0.3441208595219223,-7.417562677154387
train,UAV_0002,230,telemetry_04,-126.27819517112214,23.0,-125.90230171718544,-0.3758934539366976,-8.102424416761856
train,UAV_0002,231,telemetry_04,-125.86674324388348,22.0,-126.27819517112214,0.41145192723865875,8.868891188894324
train,UAV_0003,57,telemetry_04,-125.53569185171236,165.0,-125.8909230057288,0.3552311540164368,7.6570462873290115
train,UAV_0003,58,telemetry_04,-125.86958792174764,164.0,-125.53569185171236,-0.33389607003528,-7.19716622404996
train,UAV_0003,131,telemetry_04,-125.94639422407988,91.0,-126.23467006114454,0.28827583706465987,6.213817124329364
train,UAV_0004,39,telemetry_04,-126.2133621378789,233.0,-125.88950066679674,-0.3238614710821679,-6.980869348649197
train,UAV_0004,40,telemetry_04,-125.91225808970998,232.0,-126.2133621378789,0.30110404816892355,6.490330614484651
train,UAV_0004,54,telemetry_04,-125.43187446005612,218.0,-125.8510975156306,0.41922305557447714,9.036398708151438
train,UAV_0004,55,telemetry_04,-125.91510276757414,217.0,-125.43187446005612,-0.4832283075180186,-10.416038897990124
train,UAV_0004,56,telemetry_04,-125.41143093086622,216.0,-125.91510276757414,0.5036718367079231,10.856701400458073
train,UAV_0004,57,telemetry_04,-125.87954429427218,215.0,-125.41143093086622,-0.468113363405962,-10.090234628325607
train,UAV_0004,97,telemetry_04,-125.38437821083852,175.0,-125.83687412630984,0.4524959154713173,9.753598833932438
train,UAV_0004,98,telemetry_04,-125.90941341184585,174.0,-125.38437821083852,-0.5250352010073271,-11.317191049082867
train,UAV_0004,134,telemetry_04,-126.24249648235588,138.0,-125.89234534466088,-0.3501511376949935,-7.54754598119348
train,UAV_0004,135,telemetry_04,-125.88238897213634,137.0,-126.24249648235588,0.36010751021953524,7.762156677390411
train,UAV_0004,171,telemetry_04,-125.49645769847368,101.0,-125.90941341184585,0.4129557133721704,8.90130546309396
train,UAV_0004,172,telemetry_04,-125.88950066679674,100.0,-125.49645769847368,-0.3930429683230585,-8.472084070699484
train,UAV_0004,255,telemetry_04,-126.36064679737176,17.0,-125.91936978437036,-0.44127701300139677,-9.511774166996732
train,UAV_0004,256,telemetry_04,-125.8838113110684,16.0,-126.36064679737176,0.4768354863033579,10.2782409391292
train,UAV_0005,11,telemetry_04,-126.35006781123178,202.0,-125.8909230057288,-0.4591448055029872,-9.896916384085996
train,UAV_0005,12,telemetry_04,-125.90656873398169,201.0,-126.35006781123178,0.4434990772500953,9.559671004347086
train,UAV_0005,125,telemetry_04,-125.45325980956932,88.0,-125.9563505966044,0.5030907870350774,10.844176811356265
train,UAV_0005,126,telemetry_04,-125.88238897213634,87.0,-125.45325980956932,-0.4291291625670226,-9.24992592532126
train,UAV_0005,139,telemetry_04,-126.2253600125174,74.0,-125.84825283776644,-0.3771071747509609,-8.128586301353428
train,UAV_0005,141,telemetry_04,-125.90656873398169,72.0,-126.29144881403728,0.38488008005559493,8.296132123367265
train,UAV_0005,158,telemetry_04,-125.50475347685206,55.0,-125.9236368011666,0.41888332431453534,9.029075763772223
train,UAV_0005,159,telemetry_04,-125.8510975156306,54.0,-125.50475347685206,-0.3463440387785397,-7.4654835486221005
train,UAV_0005,161,telemetry_04,-125.57887070691396,52.0,-125.92079212330243,0.3419214163884732,7.370153440411631
train,UAV_0005,162,telemetry_04,-125.94497188514778,51.0,-125.57887070691396,-0.36610117823381927,-7.891350845461978
train,UAV_0005,167,telemetry_04,-126.2119788924498,46.0,-125.85251985456269,-0.3594590378871203,-7.748178785504488
train,UAV_0005,168,telemetry_04,-125.858209210291,45.0,-126.2119788924498,0.35376968215881277,7.6255441019634285
train,UAV_0006,19,telemetry_04,-126.29092623687428,259.0,-125.9179474454383,-0.3729787914359832,-8.039598548513602
train,UAV_0006,20,telemetry_04,-125.88807832786463,258.0,-126.29092623687428,0.40284790900965106,8.683430637105316
train,UAV_0006,143,telemetry_04,-126.37007606540492,135.0,-125.90087937825336,-0.46919668715155183,-10.113585789873111
train,UAV_0006,144,telemetry_04,-125.86958792174764,134.0,-126.37007606540492,0.5004881436572788,10.788076549349706
train,UAV_0006,145,telemetry_04,-126.41578049780806,133.0,-125.86958792174764,-0.5461925760604203,-11.773240577026066
train,UAV_0006,146,telemetry_04,-125.91936978437036,132.0,-126.41578049780806,0.4964107134376974,10.700187096041104
