split,uav_id,channel,history_length,shift_cycle,pre_shift_median,post_shift_median,candidate_shift_size,candidate_shift_score,persistence_ratio,permanent_shift_flag
train,UAV_0001,telemetry_01,259,232.0,21.992750481641373,49.525965322980674,27.5332148413393,1.6926418864094284,0.7388430632117816,False
train,UAV_0001,telemetry_02,259,174.0,20.125507338088216,8.392827365897336,-11.73267997219088,1.1451290160793623,0.6563724578231508,False
train,UAV_0001,telemetry_03,259,,,,0.0,0.0,0.0,False
train,UAV_0001,telemetry_04,259,209.0,-125.85394219349476,-125.91439159810811,-0.06044940461335102,1.4166666666683874,0.870588235294267,False
train,UAV_0001,telemetry_05,259,106.0,-113.52324601366433,-113.528116764652,-0.004870750987663541,1.0900689223047462,0.7128537988688032,False
train,UAV_0001,telemetry_06,259,232.0,-135.8888897326193,-134.6928594324346,1.1960303001847024,0.5104222340994143,1.0188481675392802,False
train,UAV_0001,telemetry_07,259,11.0,140.5912754437698,140.5912754437698,0.0,0.0,0.0,False
train,UAV_0001,telemetry_08,259,,,,0.0,0.0,0.0,False
train,UAV_0001,telemetry_09,259,248.0,-143.38122533083578,-156.66565816657683,-13.284432835741057,1.0140397303802382,0.7906209656194008,False
train,UAV_0001,telemetry_10,259,200.0,-62.23541558413608,-63.95496705520205,-1.7195514710659694,1.070323541353127,0.3706140485181545,False
train,UAV_0001,telemetry_11,259,75.0,62.61761405682944,62.43251991777513,-0.18509413905430705,0.4442307692307584,0.16305916305922283,False
train,UAV_0001,telemetry_12,259,186.0,636.3289597049288,633.7986222373298,-2.530337467598997,0.612903225806449,1.2894736842104566,False
train,UAV_0001,telemetry_13,259,224.0,7140.001406193736,7145.2404142319265,5.23900803819015,0.6687463322072131,0.9307102086314765,False
train,UAV_0001,telemetry_14,259,,,,0.0,0.0,0.0,False
train,UAV_0001,telemetry_15,259,75.0,50060.64897886043,50089.4214594055,28.77248054507072,0.3169157608695822,0.40514469453376206,False
train,UAV_0001,telemetry_16,259,73.0,-692.8648959266694,-696.3335106993333,-3.468614772663841,0.6666666666666666,1.0,False
train,UAV_0001,telemetry_17,259,,,,0.0,0.0,0.0,False
train,UAV_0001,telemetry_18,259,155.0,-104.75996612459446,-104.53348573886194,0.22648038573251483,0.86203518451627,1.923940852168729,False
train,UAV_0001,telemetry_19,259,223.0,33505.85023334059,33506.48022555151,0.6299922109174076,0.3361359488955405,1.2883919442800706,False
train,UAV_0001,telemetry_20,259,,,,0.0,0.0,0.0,False
train,UAV_0001,telemetry_21,259,13.0,34960.98284993379,34960.17350425431,-0.8093456794813392,0.39285714285676443,0.2727272727329936,False
train,UAV_0001,telemetry_22,259,169.0,23031.748148989085,23124.328863038823,92.58071404973816,0.6958664111689187,1.1982690794650053,False
train,UAV_0001,telemetry_23,259,26.0,-17400.369351111538,-17388.122548665735,12.246802445803041,0.35372745162901287,0.2183209860358225,False
train,UAV_0001,telemetry_24,259,248.0,-3634.060868870739,-3629.0615788834207,4.999289987318207,0.2448135751825195,1.0,False
train,UAV_0001,telemetry_25,259,238.0,-173.47609989853242,-174.03819509623875,-0.5620951977063271,0.4512195121951267,1.3243243243243148,False
train,UAV_0001,telemetry_26,259,63.0,-6902.281563219124,-6850.717181149888,51.56438206923576,1.088698137015039,3.7200533029825227,False
train,UAV_0001,telemetry_27,259,,,,0.0,0.0,0.0,False
train,UAV_0001,telemetry_28,259,117.0,-9723.533160116967,-9760.673840334322,-37.14068021735511,0.3965963710605714,2.223688567726063,False
train,UAV_0002,telemetry_01,253,16.0,96.47887620186287,84.54760262044232,-11.931273581420555,0.7334912954589178,0.8028032456456371,False
train,UAV_0002,telemetry_02,253,187.0,7.978064875461326,17.446667402017017,9.46860252655569,0.9241513039289504,0.29325192049865667,False
train,UAV_0002,telemetry_03,253,,,,0.0,0.0,0.0,False
train,UAV_0002,telemetry_04,253,21.0,-125.92150329276848,-125.86816558281554,0.053337709952941736,1.2500000000011657,0.4666666666664535,False
train,UAV_0002,telemetry_05,253,124.0,-113.52413592138205,-113.52859038140073,-0.004454460018678219,0.9969034434953468,0.23156413764775524,False
train,UAV_0002,telemetry_06,253,228.0,-140.66925377011128,-141.90473428438585,-1.2354805142745704,0.5272581507215442,1.2088190572731892,False
train,UAV_0002,telemetry_07,253,203.0,140.5912754437698,140.67722414279535,0.08594869902555047,2.8695647601215146,1.0,False
train,UAV_0002,telemetry_08,253,,,,0.0,0.0,0.0,False
train,UAV_0002,telemetry_09,253,123.0,-159.6967535946458,-142.86019712181505,16.83655647283075,1.2851837483273747,0.43858969505638096,False
train,UAV_0002,telemetry_10,253,188.0,-63.28941565502967,-61.64959478539754,1.639820869632132,1.0206957511317747,0.675940948090696,False
train,UAV_0002,telemetry_11,253,215.0,62.12910441710312,61.90528206713557,-0.22382234996754846,0.5371794871794802,1.6515513126491939,False
train,UAV_0002,telemetry_12,253,231.0,641.8557494367898,644.2529112481993,2.3971618114095463,0.5806451612903129,1.1111111111111374,False
train,UAV_0002,telemetry_13,253,176.0,7129.547556938322,7134.473369878806,4.92581294048432,0.6287677577653978,1.341570668268605,False
train,UAV_0002,telemetry_14,253,,,,0.0,0.0,0.0,False
train,UAV_0002,telemetry_15,253,237.0,50200.718224986595,50268.65581838507,67.93759339847747,0.748301630434689,1.0567408079891873,False
train,UAV_0002,telemetry_16,253,236.0,-698.0678180856652,-701.5364328583291,-3.4686147726639547,0.6666666666666885,1.0,False
train,UAV_0002,telemetry_17,253,,,,0.0,0.0,0.0,False
train,UAV_0002,telemetry_18,253,112.0,-103.06823150972842,-102.98314088905516,0.08509062067325601,0.3238740019601772,0.07667408566177232,False
train,UAV_0002,telemetry_19,253,244.0,33509.02588404663,33510.73368264537,1.7077985987416469,0.9112057142334359,1.0,False
train,UAV_0002,telemetry_20,253,,,,0.0,0.0,0.0,False
train,UAV_0002,telemetry_21,253,235.0,34964.66169393144,34966.42753905032,1.7658451188763138,0.8571428571458843,1.1249999999979399,False
train,UAV_0002,telemetry_22,253,16.0,22990.301708159583,22901.80008143226,-88.50162672732404,0.6652066794415527,0.10534979423867677,False
train,UAV_0002,telemetry_23,253,244.0,-17460.37982460802,-17488.14592348427,-27.766098876250908,0.8019751637735684,1.0,False
train,UAV_0002,telemetry_24,253,236.0,-3703.527738122855,-3722.12214464344,-18.594406520584926,0.9105619298438591,1.2919658261775118,False
train,UAV_0002,telemetry_25,253,235.0,-173.15707289442884,-173.93185276153756,-0.7747798671087196,0.6219512195122004,0.9607843137254851,False
train,UAV_0002,telemetry_26,253,243.0,-7615.204353957676,-7657.472548454987,-42.268194497311015,0.8924242424242407,1.0254668930390336,False
train,UAV_0002,telemetry_27,253,,,,0.0,0.0,0.0,False
train,UAV_0002,telemetry_28,253,234.0,-9813.547503044872,-9868.99146071935,-55.44395767447713,0.5920428027233217,1.172404532431912,False
