split,uav_id,row_count,robust_extreme_rows,jump_rows,permanent_shift_channels,maximum_shift_score,history_length,unusual_history_length,robust_flags_per_100_cycles,jump_flags_per_100_cycles,nearest_history_rmse,anomaly_priority_score
test,UAV_0124,475,60.0,236.0,0,2.8695647601215146,475,True,12.631578947368421,49.68421052631579,0.9473696589493266,0.689
test,UAV_0171,367,1099.0,239.0,0,2.979319612743188,367,True,299.4550408719346,65.12261580381471,2.6944310422814968,0.658
test,UAV_0123,405,30.0,165.0,0,1.4347823800607573,405,True,7.407407407407407,40.74074074074074,0.854467078554159,0.641
test,UAV_0164,271,94.0,234.0,2,4.565184084053877,271,False,34.686346863468636,86.34686346863468,1.2737532096235242,0.61
test,UAV_0199,289,54.0,220.0,0,2.8695647601215146,289,False,18.685121107266436,76.12456747404845,0.844782611404838,0.6020000000000001
test,UAV_0168,188,85.0,179.0,1,4.103735662602056,188,False,45.212765957446805,95.2127659574468,1.2737532096235242,0.602
test,UAV_0105,138,95.0,190.0,2,3.4223501340380973,138,False,68.84057971014492,137.68115942028984,1.601452750432115,0.595
test,UAV_0180,85,80.0,101.0,2,3.4091168530500493,85,False,94.11764705882354,118.82352941176471,1.6359637046606748,0.593
test,UAV_0130,333,85.0,260.0,2,3.714285714288237,333,False,25.525525525525527,78.07807807807808,1.289909992452572,0.591
test,UAV_0139,310,107.0,205.0,2,4.332176265835708,310,False,34.516129032258064,66.12903225806451,1.2448717092670283,0.591
test,UAV_0162,224,38.0,123.0,2,3.3549448660906993,224,False,16.964285714285715,54.910714285714285,1.087661790384242,0.585
test,UAV_0118,244,83.0,241.0,2,3.5002480408798258,244,False,34.01639344262295,98.77049180327869,1.534029230788673,0.583
test,UAV_0149,211,115.0,199.0,2,4.313805756124097,211,False,54.502369668246445,94.31279620853081,1.6402277537154122,0.581
test,UAV_0200,247,68.0,166.0,2,4.35980987756572,247,False,27.530364372469634,67.20647773279352,1.3082622165445545,0.579
test,UAV_0177,381,15.0,132.0,0,1.2661887087888526,381,True,3.937007874015748,34.645669291338585,0.9486304040061502,0.567
test,UAV_0181,155,402.0,103.0,2,4.634307284641761,155,False,259.35483870967744,66.45161290322581,5.282337766176153,0.5569999999999999
test,UAV_0195,213,651.0,131.0,1,3.136524820601447,213,False,305.63380281690144,61.502347417840376,4.506709772064326,0.541
test,UAV_0116,126,26.0,76.0,2,3.6786728251342233,126,False,20.634920634920636,60.317460317460316,1.4702304518474596,0.5389999999999999
test,UAV_0192,266,36.0,187.0,0,2.8695647601215146,266,False,13.533834586466165,70.30075187969925,0.9132019105435772,0.5349999999999999
test,UAV_0121,263,473.0,129.0,2,4.364861238145814,263,False,179.84790874524714,49.049429657794676,2.306932934453458,0.532
test,UAV_0194,333,65.0,229.0,0,2.8695647601215146,333,False,19.51951951951952,68.76876876876877,1.1044041395136606,0.509
test,UAV_0174,68,15.0,54.0,0,0.974990075854276,68,False,22.058823529411764,79.41176470588235,1.2413524124369049,0.503
test,UAV_0115,112,20.0,80.0,0,1.4375365846744255,112,False,17.857142857142858,71.42857142857143,1.1713893999398706,0.5
test,UAV_0103,234,20.0,118.0,0,2.8695647601215146,234,False,8.547008547008547,50.427350427350426,0.8454757429752018,0.484
test,UAV_0182,194,39.0,58.0,0,2.8695647601215146,194,False,20.103092783505154,29.896907216494846,0.9025406448085553,0.483
test,UAV_0175,191,32.0,141.0,0,1.2000000000014654,191,False,16.75392670157068,73.82198952879581,1.2193345653860752,0.479
test,UAV_0172,232,25.0,77.0,0,2.8695647601215146,232,False,10.775862068965518,33.189655172413794,0.844782611404838,0.4720000000000001
test,UAV_0128,70,5.0,34.0,0,1.1658316402441853,70,False,7.142857142857143,48.57142857142857,0.8453572388414232,0.45899999999999996
