channel,pooled_pearson_rul,pooled_spearman_rul,pooled_pearson_cycle,pooled_spearman_cycle,partial_pearson_rul_controlling_cycle,partial_spearman_rul_controlling_cycle,valid_uavs,median_within_pearson_cycle,median_within_spearman_cycle,median_within_pearson_rul,median_within_spearman_rul,median_linear_slope_per_cycle,median_theil_sen_slope_per_cycle,positive_slope_uavs_percent,negative_slope_uavs_percent,dominant_trend_direction,dominant_trend_uavs_percent,median_last_minus_first,median_early_to_late_change,median_early_to_late_effect_size
telemetry_01,-0.05635120432857776,-0.013377275831099928,0.03231981145960357,0.0025909394531148868,-0.046554120624938,-0.014563101259242237,100,0.013200776965932073,0.013738359307549027,-0.013200776965932073,-0.013738359307549027,0.002412020375286098,0.00397539228448852,60.0,40.0,increasing,60.0,5.390945665385139,0.1760042076055015,0.016211971464157954
telemetry_02,0.00020992764631064758,0.001947356142660896,-0.0007005068733464251,-0.005353403748477781,-0.00014643031550750531,-0.0014097880933402688,100,-0.006073105145781301,-0.012767705886875222,0.006073105145781301,0.012767705886875222,-0.0006685805965067427,0.0006781298444452929,44.0,56.00000000000001,decreasing,56.00000000000001,-0.8624989235995288,-0.18710873575628195,-0.02454284259288883
telemetry_03,,,,,-0.022069226615599322,-0.0067001400295313715,0,,,,,0.0,0.0,,,flat,,0.0,0.0,0.0
telemetry_04,-0.00549679918611379,-0.0019740589695729296,0.001982802318933694,0.0069090872403719085,-0.005183628522473426,0.002480565084366391,100,0.008541403747877475,0.0018762835374380948,-0.008541403747877475,-0.0018762835374380948,4.978578749181529e-06,0.0,54.0,46.0,increasing,54.0,0.000711169466050876,-0.0003507690376522987,-0.0063590713424003555
telemetry_05,-0.001377371213635188,-0.0019057819645520108,0.0032221128335537157,0.001929842921461753,0.00020334991552287148,-0.0009676606611020266,100,0.004830325418928461,0.005273576632163822,-0.004830325418928461,-0.005273576632163822,1.3087054584567703e-07,2.7368756460378744e-07,52.0,48.0,increasing,52.0,-3.824790622530827e-05,6.695266797152044e-05,0.02609975401849507
telemetry_06,-0.033464539181111974,-0.08796169697086971,-0.3110196911028387,-0.2263214014957412,-0.22059546854853482,-0.27552641897106733,100,0.6340661542277539,0.6130603213037136,-0.6340661542277539,-0.6130603213037136,0.011246403420717137,0.010742306733668721,56.00000000000001,44.0,increasing,56.00000000000001,2.114656713991451,2.058621307855603,1.877528760743691
telemetry_07,-0.3634317753562879,-0.4307632485626869,0.5282200070688229,0.46877920698957626,-0.14582349559658295,-0.2214517954941827,44,0.6876814244692968,0.7002520672557062,-0.6876814244692968,-0.7002520672557062,0.0,0.0,100.0,0.0,increasing,100.0,0.0,0.0,0.7149913766762764
telemetry_08,,,,,,-0.015744834730185665,0,,,,,0.0,0.0,,,flat,,0.0,0.0,0.0
telemetry_09,0.00042738830117281906,-0.0008944270888466048,-0.0004399805118934931,0.0015033241724526007,0.0002454895583946863,-3.0251932023468967e-05,100,0.010186856227086174,0.006928862299669297,-0.010186856227086174,-0.006928862299669297,0.0011515764363811123,-0.00012052437298892008,56.00000000000001,44.0,increasing,56.00000000000001,-1.5831222336996973,0.27304828545752,0.029397175750231826
telemetry_10,-0.004267189421155208,0.007327251760159555,0.004388476961889916,-0.004191905917476555,-0.0024535202027040483,0.006010036618133678,100,-0.005387300438678192,-0.006383304231624027,0.005387300438678192,0.006383304231624027,-0.00015642103655127672,0.00026454420556206565,46.0,54.0,decreasing,54.0,-0.18285859299413687,-0.004364252443650685,-0.0017515633957174849
