submission_description,filename,public_r2,source_attachment,recorded_on
run_1,submission.csv,0.59695,codex-clipboard-29165c33-5500-49af-8d64-c42f072f8faa.png,2026-09-07
run_2,submission.csv,0.48924,codex-clipboard-29165c33-5500-49af-8d64-c42f072f8faa.png,2026-09-07
run_3,submission.csv,0.54136,codex-clipboard-29165c33-5500-49af-8d64-c42f072f8faa.png,2026-09-07
run_4,submission.csv,0.84513,codex-clipboard-29165c33-5500-49af-8d64-c42f072f8faa.png,2026-09-07
run_4 (submission 2),submission.csv,0.84513,codex-clipboard-29165c33-5500-49af-8d64-c42f072f8faa.png,2026-09-07
run_4 (submission 3),submission.csv,0.84513,codex-clipboard-29165c33-5500-49af-8d64-c42f072f8faa.png,2026-09-07
run_5,submission.csv,0.86525,codex-clipboard-8acb97cf-ddf1-465e-b9cd-db128c37e792.png,2026-09-07
PE_4 run_1,submission.csv,0.86525,codex-clipboard-8acb97cf-ddf1-465e-b9cd-db128c37e792.png,2026-09-07
run_6,submission.csv,0.86741,codex-clipboard-8acb97cf-ddf1-465e-b9cd-db128c37e792.png,2026-09-07
PE_5,hard_cap_125.csv,0.85609,codex-clipboard-8acb97cf-ddf1-465e-b9cd-db128c37e792.png,2026-09-07
PE_5,raw.csv,0.82866,codex-clipboard-8acb97cf-ddf1-465e-b9cd-db128c37e792.png,2026-09-07
PE_5,soft_tail.csv,0.83609,codex-clipboard-8acb97cf-ddf1-465e-b9cd-db128c37e792.png,2026-09-07
PE_5,weighted_raw.csv,0.83482,codex-clipboard-8acb97cf-ddf1-465e-b9cd-db128c37e792.png,2026-09-07
run_7,submission.csv,0.87652,codex-clipboard-8acb97cf-ddf1-465e-b9cd-db128c37e792.png,2026-09-07
