split,uav_id,history_length
train,UAV_0001,259
train,UAV_0002,253
train,UAV_0003,222
train,UAV_0004,272
train,UAV_0005,213
train,UAV_0006,278
train,UAV_0007,424
train,UAV_0008,267
train,UAV_0009,406
train,UAV_0010,481
train,UAV_0011,197
train,UAV_0012,170
train,UAV_0013,185
train,UAV_0014,207
train,UAV_0015,202
train,UAV_0016,344
train,UAV_0017,312
train,UAV_0018,447
train,UAV_0019,229
train,UAV_0020,338
train,UAV_0021,220
train,UAV_0022,192
train,UAV_0023,196
train,UAV_0024,494
train,UAV_0025,193
train,UAV_0026,243
train,UAV_0027,320
train,UAV_0028,200
train,UAV_0029,223
train,UAV_0030,218
train,UAV_0031,183
train,UAV_0032,189
train,UAV_0033,231
train,UAV_0034,459
train,UAV_0035,231
train,UAV_0036,324
train,UAV_0037,324
train,UAV_0038,201
train,UAV_0039,288
train,UAV_0040,188
train,UAV_0041,295
train,UAV_0042,193
train,UAV_0043,321
train,UAV_0044,180
train,UAV_0045,205
train,UAV_0046,204
train,UAV_0047,269
train,UAV_0048,174
train,UAV_0049,256
train,UAV_0050,161
train,UAV_0051,190
train,UAV_0052,222
train,UAV_0053,164
train,UAV_0054,194
train,UAV_0055,525
train,UAV_0056,195
train,UAV_0057,215
train,UAV_0058,178
train,UAV_0059,299
train,UAV_0060,190
train,UAV_0061,199
train,UAV_0062,246
train,UAV_0063,231
train,UAV_0064,195
train,UAV_0065,234
train,UAV_0066,165
train,UAV_0067,263
train,UAV_0068,201
train,UAV_0069,170
train,UAV_0070,172
train,UAV_0071,409
train,UAV_0072,232
train,UAV_0073,215
train,UAV_0074,193
train,UAV_0075,259
train,UAV_0076,153
train,UAV_0077,255
train,UAV_0078,221
train,UAV_0079,166
train,UAV_0080,147
train,UAV_0081,347
train,UAV_0082,285
train,UAV_0083,181
train,UAV_0084,226
train,UAV_0085,266
train,UAV_0086,341
train,UAV_0087,172
train,UAV_0088,322
train,UAV_0089,207
train,UAV_0090,181
train,UAV_0091,156
train,UAV_0092,158
train,UAV_0093,171
train,UAV_0094,392
train,UAV_0095,166
train,UAV_0096,491
train,UAV_0097,275
train,UAV_0098,307
train,UAV_0099,145
train,UAV_0100,152
test,UAV_0101,233
test,UAV_0102,124
test,UAV_0103,234
test,UAV_0104,68
test,UAV_0105,138
test,UAV_0106,64
test,UAV_0107,158
test,UAV_0108,192
test,UAV_0109,238
test,UAV_0110,131
test,UAV_0111,103
test,UAV_0112,146
test,UAV_0113,65
test,UAV_0114,169
test,UAV_0115,112
test,UAV_0116,126
test,UAV_0117,230
test,UAV_0118,244
test,UAV_0119,115
test,UAV_0120,207
test,UAV_0121,263
test,UAV_0122,119
test,UAV_0123,405
test,UAV_0124,475
test,UAV_0125,169
test,UAV_0126,130
test,UAV_0127,104
test,UAV_0128,70
test,UAV_0129,89
test,UAV_0130,333
test,UAV_0131,152
test,UAV_0132,120
test,UAV_0133,180
test,UAV_0134,105
test,UAV_0135,144
test,UAV_0136,90
test,UAV_0137,47
test,UAV_0138,133
test,UAV_0139,310
test,UAV_0140,313
test,UAV_0141,101
test,UAV_0142,87
test,UAV_0143,133
test,UAV_0144,146
test,UAV_0145,88
test,UAV_0146,180
test,UAV_0147,56
test,UAV_0148,179
test,UAV_0149,211
test,UAV_0150,147
test,UAV_0151,118
test,UAV_0152,38
test,UAV_0153,108
test,UAV_0154,50
test,UAV_0155,203
test,UAV_0156,162
test,UAV_0157,158
test,UAV_0158,119
test,UAV_0159,149
test,UAV_0160,112
test,UAV_0161,78
test,UAV_0162,224
test,UAV_0163,137
test,UAV_0164,271
test,UAV_0165,79
test,UAV_0166,122
test,UAV_0167,186
test,UAV_0168,188
test,UAV_0169,105
test,UAV_0170,84
test,UAV_0171,367
test,UAV_0172,232
test,UAV_0173,109
test,UAV_0174,68
test,UAV_0175,191
test,UAV_0176,180
test,UAV_0177,381
test,UAV_0178,279
test,UAV_0179,170
test,UAV_0180,85
test,UAV_0181,155
test,UAV_0182,194
test,UAV_0183,168
test,UAV_0184,76
test,UAV_0185,118
test,UAV_0186,174
test,UAV_0187,218
test,UAV_0188,41
test,UAV_0189,120
test,UAV_0190,206
test,UAV_0191,56
test,UAV_0192,266
test,UAV_0193,158
test,UAV_0194,333
test,UAV_0195,213
test,UAV_0196,358
test,UAV_0197,95
test,UAV_0198,182
test,UAV_0199,289
test,UAV_0200,247
